,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2035-02-11 00:00:00,343.53512945071844,339.390595967516,290.98501221764894,306.3000128606831,323.67469191675946,307.4909573209215,301.10645343802287,316.9541615137083,322.4210661691402,306.3000128606832,310.69882509414964
2035-02-11 01:00:00,343.53512945071844,339.390595967516,235.6978598962957,292.16285043030103,323.67469191675946,307.4909573209215,292.16285043030103,307.5398425582116,322.4210661691402,306.3000128606832,290.985012217649
2035-02-11 02:00:00,343.53512945071844,339.390595967516,290.985012217649,306.3000128606832,323.6746919167594,307.4909573209215,298.9036523353458,314.63542351089035,314.6354235108903,298.9036523353458,283.9584697185785
2035-02-11 03:00:00,343.53512945071844,339.390595967516,235.6978598962957,306.3000128606832,323.67469191675946,307.4909573209215,307.49095732092155,322.42106616914015,322.4210661691402,306.3000128606832,323.67469191675946
2035-02-11 04:00:00,343.5351294507184,339.390595967516,276.1035481548942,290.63531384725707,323.67469191675946,307.4909573209215,303.8856164624972,305.9319093129022,305.7045183169192,290.4192924010732,319.8795962763128
2035-02-11 05:00:00,343.53512945071844,339.390595967516,290.985012217649,306.3000128606832,323.67469191675946,307.4909573209215,307.49095732092155,322.4210661691402,322.4210661691402,306.3000128606832,323.67469191675946
2035-02-11 06:00:00,343.5351294507184,339.390595967516,235.6978598962957,306.30001286068295,323.67469191675946,307.4909573209215,323.67469191675946,322.4210661691399,322.4210661691402,306.3000128606832,340.71020201764156
2035-02-11 07:00:00,343.53512945071844,339.390595967516,290.98501221764906,306.3000128606832,323.67469191675946,307.4909573209215,323.6746919167594,322.4210661691402,322.4210661691402,323.6746919167594,340.7102020176415
2035-02-11 08:00:00,343.53512945071844,339.390595967516,290.98501221764894,306.3000128606831,323.67469191675946,307.4909573209215,323.67469191675946,322.4210661691401,322.4210661691402,306.3000128606832,340.7102020176415
2035-02-11 09:00:00,343.53512945071844,339.390595967516,290.9850122176488,306.30001286068295,323.67469191675946,307.4909573209215,323.6746919167594,322.4210661691399,322.4210661691402,306.3000128606832,340.7102020176415
2035-02-11 10:00:00,343.53512945071844,339.390595967516,290.98501221764906,306.3000128606832,323.67469191675946,307.4909573209215,323.6746919167594,322.4210661691402,322.4210661691402,306.3000128606832,340.7102020176415
2035-02-11 11:00:00,343.5351294507184,339.390595967516,290.98501221764894,306.3000128606831,323.67469191675946,307.4909573209215,323.6746919167594,322.4210661691401,322.4210661691402,306.3000128606832,340.7102020176415
2035-02-11 12:00:00,343.53512945071844,339.390595967516,290.985012217649,306.3000128606832,323.67469191675946,307.4909573209215,322.7260057549908,322.42106616914015,322.4210661691402,306.3000128606831,339.7115850052535
2035-02-11 13:00:00,343.5351294507184,339.390595967516,290.98501221764894,306.3000128606831,323.67469191675946,307.4909573209215,322.7260057549908,322.4210661691401,322.4210661691402,322.7260057549908,339.7115850052535
2035-02-11 14:00:00,343.53512945071844,339.390595967516,290.98501221764894,306.3000128606831,323.67469191675946,307.4909573209215,317.86682910976714,322.4210661691401,322.4210661691402,309.71596600589936,334.5966622208075
2035-02-11 15:00:00,343.53512945071844,339.390595967516,290.98501221764894,306.30001286068307,323.67469191675946,307.49095732092155,316.7473754064618,322.4210661691401,322.4210661691401,306.3000128606831,333.41828990153874
2035-02-11 16:00:00,343.5351294507184,339.390595967516,235.6978598962957,295.5332513828234,323.67469191675946,307.4909573209215,316.74737540646197,311.08763303455095,280.75658881368224,266.71875937299814,333.41828990153897
2035-02-11 17:00:00,343.53512945071844,339.390595967516,290.98501221764906,306.3000128606832,323.67469191675946,307.4909573209215,314.9819344757698,322.4210661691402,290.98501221764906,276.43576160676656,331.55993102712614
2035-02-11 18:00:00,343.53512945071844,339.390595967516,290.985012217649,306.3000128606832,323.67469191675946,307.4909573209215,297.63507213375607,313.30007593026954,297.63507213375607,282.75331852706825,315.94469924513703
2035-02-11 19:00:00,343.5351294507184,339.390595967516,290.9850122176489,306.30001286068307,323.67469191675946,307.4909573209215,295.5332513828234,311.08763303455095,290.98501221764894,276.4357616067665,315.94469924513703
2035-02-11 20:00:00,343.53512945071844,339.390595967516,290.98501221764894,306.3000128606831,322.4210661691402,306.3000128606832,290.985012217649,306.3000128606832,290.985012217649,276.43576160676656,315.94469924513703
2035-02-11 21:00:00,343.53512945071844,339.390595967516,290.9850122176489,306.30001286068307,322.4210661691401,306.30001286068307,297.952345101001,313.6340474747379,290.9850122176489,0.0,313.6340474747379
2035-02-11 22:00:00,343.53512945071844,339.390595967516,0.0,274.9896463478988,289.46278562936715,261.2401640305039,274.9896463478988,289.46278562936715,261.2401640305038,0.0,289.46278562936715
2035-02-11 23:00:00,343.53512945071844,339.390595967516,5e-324,306.3000128606831,323.67469191675946,307.4909573209215,306.3000128606832,322.4210661691402,113.50961330422707,0.0,322.4210661691402
2035-02-12 00:00:00,343.53512945071844,339.390595967516,0.0,186.33495901405416,323.67469191675946,325.30486784871545,309.0396244562797,316.9541615137083,113.50961330422707,0.0,325.30486784871545
2035-02-12 01:00:00,343.53512945071844,339.390595967516,0.0,119.48380347813375,323.67469191675946,326.3583729781825,312.455692648538,313.3000759302694,113.50961330422707,0.0,328.90072910372425
2035-02-12 02:00:00,343.53512945071844,339.390595967516,0.0,119.48380347813375,323.67469191675946,326.3583729781825,311.8728342474786,313.3000759302694,113.50961330422707,0.0,328.2871939447143
