,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
2050-01-22 00:00:00,0.0,29420.386373951867,661.3151734691775,6403.592819142859,1967.324141850768,22004.007849556307,0.0,107.643627138,0.0,18880.138152567564,4317.065192349114
2050-01-22 01:00:00,0.0,31485.530574626573,256.7369415630998,6411.295877915508,1961.2110355857678,22004.36873267431,0.0,107.46260917800001,0.0,11591.928411546673,4323.5920761566085
2050-01-22 02:00:00,0.0,30226.808327982668,531.7070931316426,6407.698031545808,1963.594583080768,22004.396004564307,0.0,107.54972442600001,0.0,10743.217514298489,4322.84871144487
2050-01-22 03:00:00,0.0,29338.241879091078,612.7359495098481,5877.722996453726,1952.970055390768,22004.372682247507,0.0,106.799712621,0.0,16460.295539745217,4323.5920761566085
2050-01-22 04:00:00,0.0,27340.21380255606,1173.0583464168662,6344.944309865621,1977.487346723968,22004.33394893431,0.0,104.698766376,0.0,18557.662848882304,4323.5920761566085
2050-01-22 05:00:00,0.0,26569.60159604096,655.3252389403798,6399.390443858766,1949.889936508368,22004.396004564307,0.0,100.11827772000001,0.0,18041.012214153314,4323.5920761566085
2050-01-22 06:00:00,0.0,23152.13106239104,1356.9965441953095,6399.984684848295,1949.393601636768,22004.396004564307,0.0,63.272668974000005,0.0,17787.206951984936,4323.5920761566085
2050-01-22 07:00:00,0.0,22377.127819168414,1364.903642228008,6318.213138598551,1948.738345328168,21551.402859111105,0.0,89.905321791,0.0,5885.514928520612,4323.5920761566085
2050-01-22 08:00:00,0.0,17169.95537674917,1364.903642228008,4500.016582964714,1950.653033858968,22004.396004564307,0.0,95.01120474300001,0.0,12218.555391990723,4323.5920761566085
2050-01-22 09:00:00,0.0,9834.559950636029,1364.903642228008,5404.722135837651,1949.288990465968,21929.295799584306,0.0,107.48524842,0.0,11040.707500512042,4323.5920761566085
2050-01-22 10:00:00,0.0,5588.306246221911,1364.903642228008,4795.861090763664,1950.3572767021678,21916.431603793924,0.0,106.708885785,0.0,9266.63842864941,4322.420564497218
2050-01-22 11:00:00,0.0,5063.247204443994,1364.903642228008,5670.314082415319,1947.1521493841678,21944.75602773951,0.0,106.94078869799999,0.0,10159.357211499224,4284.758339282706
2050-01-22 12:00:00,0.0,1917.3170175403393,1364.903642228008,5439.624685432524,1938.631537028168,21521.92269104935,0.0,99.451180278,0.0,17960.259182532085,4322.881217564282
