,0
WAOR,1.3471000338007038
WAID,0.0
WAMT,1.0418024149531195
ORCA,1.547936325301081
ORNV,1.1971855656712167
ORID,0.9813637303560141
CANV,6.5063410975979235
CAUT,0.0
CAAZ,0.626973384520227
NVID,0.7463567108800688
NVUT,1.6784554352860843
NVAZ,1.09539759065194
IDMT,3.5881081864078026
IDWY,0.9839769864722845
IDUT,0.0
MTWY,1.4468382243430349
WYUT,3.7893632282800906
WYCO,4.331639524375386
UTAZ,0.0
UTNM,1.3103435379684203
UTCO,0.0
AZNM,5.573098618751276
NMCO,2.703032937917084
ORWA,1.3471000338007038
IDWA,0.0
MTWA,1.0418024149531195
CAOR,1.547936325301081
NVOR,1.1971855656712167
IDOR,0.9813637303560141
NVCA,6.5063410975979235
UTCA,0.0
AZCA,0.626973384520227
IDNV,0.7463567108800688
UTNV,1.6784554352860843
AZNV,1.09539759065194
MTID,3.5881081864078026
WYID,0.9839769864722845
UTID,0.0
WYMT,1.4468382243430349
UTWY,3.7893632282800906
COWY,4.331639524375386
AZUT,0.0
NMUT,1.3103435379684203
COUT,0.0
NMAZ,5.573098618751276
CONM,2.703032937917084
