,Coal Steam CCSWA,Combined CycleWA,Combined Cycle CCSWA,NuclearWA,Battery StorageWA,HydrogenWA,SRWA,SMRWA,SMR CCSWA,ElectrolyzerWA,Fuel CellWA,H2 TurbineWA,Coal Steam CCSOR,Combined CycleOR,Combined Cycle CCSOR,NuclearOR,Battery StorageOR,HydrogenOR,SROR,SMROR,SMR CCSOR,ElectrolyzerOR,Fuel CellOR,H2 TurbineOR,Coal Steam CCSCA,Combined CycleCA,Combined Cycle CCSCA,NuclearCA,Battery StorageCA,HydrogenCA,SRCA,SMRCA,SMR CCSCA,ElectrolyzerCA,Fuel CellCA,H2 TurbineCA,Coal Steam CCSNV,Combined CycleNV,Combined Cycle CCSNV,NuclearNV,Battery StorageNV,HydrogenNV,SRNV,SMRNV,SMR CCSNV,ElectrolyzerNV,Fuel CellNV,H2 TurbineNV,Coal Steam CCSID,Combined CycleID,Combined Cycle CCSID,NuclearID,Battery StorageID,HydrogenID,SRID,SMRID,SMR CCSID,ElectrolyzerID,Fuel CellID,H2 TurbineID,Coal Steam CCSMT,Combined CycleMT,Combined Cycle CCSMT,NuclearMT,Battery StorageMT,HydrogenMT,SRMT,SMRMT,SMR CCSMT,ElectrolyzerMT,Fuel CellMT,H2 TurbineMT,Coal Steam CCSWY,Combined CycleWY,Combined Cycle CCSWY,NuclearWY,Battery StorageWY,HydrogenWY,SRWY,SMRWY,SMR CCSWY,ElectrolyzerWY,Fuel CellWY,H2 TurbineWY,Coal Steam CCSUT,Combined CycleUT,Combined Cycle CCSUT,NuclearUT,Battery StorageUT,HydrogenUT,SRUT,SMRUT,SMR CCSUT,ElectrolyzerUT,Fuel CellUT,H2 TurbineUT,Coal Steam CCSAZ,Combined CycleAZ,Combined Cycle CCSAZ,NuclearAZ,Battery StorageAZ,HydrogenAZ,SRAZ,SMRAZ,SMR CCSAZ,ElectrolyzerAZ,Fuel CellAZ,H2 TurbineAZ,Coal Steam CCSNM,Combined CycleNM,Combined Cycle CCSNM,NuclearNM,Battery StorageNM,HydrogenNM,SRNM,SMRNM,SMR CCSNM,ElectrolyzerNM,Fuel CellNM,H2 TurbineNM,Coal Steam CCSCO,Combined CycleCO,Combined Cycle CCSCO,NuclearCO,Battery StorageCO,HydrogenCO,SRCO,SMRCO,SMR CCSCO,ElectrolyzerCO,Fuel CellCO,H2 TurbineCO,windlat31.83lon-112.32AZ,windlat32.33lon-113.32AZ,windlat32.33lon-111.32AZ,solarlat31.83lon-112.32AZ,solarlat32.33lon-113.32AZ,solarlat32.33lon-111.32AZ,windlat31.83lon-110.32AZ,windlat32.33lon-109.82AZ,windlat32.83lon-113.32AZ,windlat32.83lon-111.32AZ,windlat32.83lon-109.32AZ,windlat33.33lon-112.82AZ,windlat33.33lon-110.82AZ,windlat33.83lon-113.32AZ,windlat33.83lon-111.32AZ,windlat34.33lon-112.82AZ,windlat34.33lon-110.82AZ,windlat34.67lon-110.32AZ,windlat34.83lon-113.32AZ,windlat34.83lon-111.32AZ,windlat35.33lon-111.82AZ,windlat35.83lon-111.82AZ,windlat36.33lon-111.82AZ,windlat36.83lon-112.32AZ,windlat36.83lon-110.32AZ,solarlat31.83lon-110.32AZ,solarlat32.33lon-109.32AZ,solarlat32.83lon-112.82AZ,solarlat32.83lon-110.82AZ,solarlat33.33lon-114.32AZ,solarlat33.33lon-112.32AZ,solarlat33.33lon-110.32AZ,solarlat33.83lon-112.82AZ,solarlat33.83lon-110.82AZ,solarlat34.33lon-112.32AZ,solarlat34.33lon-110.32AZ,solarlat34.83lon-113.32AZ,solarlat34.83lon-111.32AZ,solarlat35.33lon-113.32AZ,solarlat35.33lon-111.32AZ,solarlat35.83lon-112.32AZ,solarlat35.83lon-110.32AZ,solarlat36.33lon-111.82AZ,solarlat36.83lon-110.82AZ,windlat31.83lon-108.05NM,windlat32.33lon-107.55NM,windlat32.33lon-105.55NM,windlat32.83lon-107.05NM,windlat33.33lon-108.55NM,windlat33.33lon-106.55NM,windlat33.83lon-107.05NM,windlat33.83lon-105.05NM,windlat34.33lon-108.55NM,windlat34.33lon-106.55NM,windlat34.33lon-104.55NM,windlat34.83lon-107.05NM,windlat34.83lon-105.55NM,windlat35.33lon-107.55NM,windlat35.33lon-105.55NM,windlat35.83lon-107.55NM,windlat35.83lon-105.55NM,windlat35.83lon-103.55NM,windlat36.33lon-107.55NM,windlat36.33lon-105.55NM,windlat36.33lon-103.55NM,windlat36.62lon-103.65NM,windlat36.83lon-108.05NM,windlat36.83lon-106.05NM,windlat36.83lon-104.05NM,solarlat31.83lon-108.05NM,solarlat32.33lon-107.05NM,solarlat32.33lon-105.05NM,solarlat32.83lon-108.55NM,solarlat32.83lon-106.55NM,solarlat33.33lon-108.05NM,solarlat33.33lon-106.05NM,solarlat33.83lon-108.55NM,solarlat33.83lon-106.55NM,solarlat34.33lon-108.05NM,solarlat34.33lon-106.05NM,solarlat34.33lon-104.05NM,solarlat34.83lon-107.05NM,solarlat34.83lon-105.05NM,solarlat35.33lon-107.05NM,solarlat35.33lon-105.05NM,solarlat35.83lon-108.05NM,solarlat35.83lon-106.05NM,solarlat35.83lon-104.05NM,solarlat36.33lon-107.55NM,solarlat36.33lon-105.55NM,solarlat36.33lon-103.55NM,solarlat36.83lon-108.55NM,solarlat36.83lon-106.55NM,solarlat36.83lon-104.55NM,windlat32.72lon-116.42CA,windlat33.04lon-116.92CA,solarlat33.04lon-116.42CA,windlat33.04lon-114.92CA,windlat33.54lon-117.42CA,windlat33.54lon-115.42CA,windlat33.86lon-116.42CA,windlat34.04lon-116.92CA,windlat34.04lon-114.92CA,windlat34.54lon-117.92CA,windlat34.54lon-116.42CA,windlat34.54lon-114.42CA,windlat35.0lon-118.42CA,windlat35.04lon-118.42CA,windlat35.04lon-116.92CA,windlat35.04lon-114.92CA,windlat35.34lon-118.26CA,windlat35.54lon-118.42CA,windlat35.54lon-116.42CA,windlat36.04lon-119.42CA,windlat36.04lon-117.42CA,windlat36.54lon-118.42CA,windlat37.04lon-117.92CA,solarlat33.54lon-116.92CA,solarlat33.54lon-114.92CA,solarlat34.04lon-116.92CA,solarlat34.04lon-114.92CA,solarlat34.54lon-118.92CA,solarlat34.54lon-116.92CA,solarlat34.54lon-114.92CA,solarlat35.04lon-119.42CA,solarlat35.04lon-117.42CA,solarlat35.04lon-115.42CA,solarlat35.54lon-118.92CA,solarlat35.54lon-116.92CA,solarlat36.04lon-117.92CA,solarlat36.54lon-119.42CA,solarlat36.54lon-117.42CA,solarlat37.04lon-118.42CA,solarlat38.54lon-119.42CA,windlat33.83lon-109.32AZ,windlat34.83lon-109.32AZ,windlat35.33lon-109.82AZ,windlat35.83lon-109.82AZ,windlat36.33lon-109.82AZ,solarlat34.83lon-109.32AZ,solarlat35.33lon-109.32AZ,solarlat36.33lon-109.82AZ,windlat34.04lon-120.42CA,windlat34.54lon-119.92CA,windlat35.04lon-120.42CA,windlat35.54lon-120.42CA,windlat36.04lon-121.42CA,windlat36.54lon-120.42CA,windlat37.04lon-121.92CA,windlat37.04lon-119.92CA,windlat37.54lon-121.42CA,windlat37.54lon-119.42CA,windlat37.7lon-121.61CA,windlat38.04lon-121.42CA,windlat38.04lon-119.42CA,windlat38.2lon-121.92CA,windlat38.54lon-122.42CA,windlat38.54lon-120.42CA,windlat39.04lon-121.92CA,windlat39.54lon-123.42CA,windlat39.54lon-121.42CA,windlat40.04lon-122.92CA,windlat40.04lon-121.42CA,windlat40.54lon-123.42CA,windlat40.54lon-121.42CA,windlat40.9lon-121.76CA,windlat41.04lon-123.42CA,windlat41.04lon-121.42CA,solarlat34.04lon-120.42CA,solarlat35.54lon-120.92CA,solarlat36.04lon-119.92CA,solarlat36.54lon-121.42CA,solarlat37.04lon-120.42CA,solarlat37.54lon-121.92CA,solarlat37.54lon-119.92CA,solarlat38.04lon-121.42CA,solarlat38.04lon-119.42CA,solarlat38.54lon-121.42CA,solarlat39.04lon-122.92CA,solarlat39.04lon-120.92CA,solarlat39.54lon-123.42CA,solarlat39.54lon-121.42CA,solarlat40.04lon-122.42CA,solarlat40.04lon-120.42CA,solarlat40.54lon-123.42CA,solarlat40.54lon-121.42CA,windlat35.12lon-114.05AZ,windlat35.33lon-113.82AZ,windlat35.83lon-113.82AZ,windlat36.33lon-113.82AZ,solarlat35.83lon-114.32AZ,solarlat36.33lon-113.82AZ,solarlat36.83lon-112.82AZ,windlat36.5lon-116.51NV,windlat37.0lon-116.51NV,windlat37.0lon-114.51NV,windlat37.5lon-117.51NV,windlat37.5lon-115.51NV,windlat38.0lon-117.01NV,windlat38.0lon-115.01NV,windlat38.5lon-118.51NV,windlat38.5lon-116.51NV,windlat38.5lon-114.51NV,windlat39.0lon-118.01NV,windlat39.0lon-116.01NV,windlat39.04lon-114.51NV,windlat39.5lon-119.51NV,windlat39.5lon-117.51NV,windlat39.5lon-115.51NV,windlat40.0lon-118.51NV,windlat40.0lon-116.51NV,windlat40.0lon-114.51NV,windlat40.5lon-118.51NV,windlat40.5lon-116.51NV,windlat40.5lon-114.51NV,windlat41.0lon-118.01NV,windlat41.0lon-116.01NV,windlat41.5lon-118.01NV,windlat41.5lon-116.01NV,solarlat37.0lon-117.01NV,solarlat37.0lon-115.01NV,solarlat37.5lon-116.01NV,solarlat38.0lon-117.51NV,solarlat38.0lon-115.51NV,solarlat38.5lon-117.51NV,solarlat38.5lon-115.51NV,solarlat39.0lon-119.01NV,solarlat39.0lon-117.01NV,solarlat39.0lon-115.01NV,solarlat39.5lon-119.51NV,solarlat39.5lon-117.51NV,solarlat39.5lon-115.51NV,solarlat40.0lon-118.01NV,solarlat40.0lon-116.01NV,solarlat40.5lon-119.01NV,solarlat40.5lon-117.01NV,solarlat40.5lon-115.01NV,solarlat41.0lon-118.01NV,solarlat41.0lon-116.01NV,solarlat41.5lon-119.51NV,solarlat41.5lon-117.51NV,solarlat41.5lon-115.51NV,windlat36.5lon-114.51NV,solarlat36.0lon-115.01NV,solarlat36.5lon-115.51NV,windlat37.49lon-107.56CO,windlat37.49lon-105.56CO,windlat37.49lon-103.56CO,windlat37.7lon-102.65CO,windlat37.99lon-108.06CO,windlat37.99lon-106.06CO,windlat37.99lon-104.06CO,windlat37.99lon-102.06CO,windlat38.49lon-109.06CO,windlat38.49lon-107.06CO,windlat38.49lon-105.06CO,windlat38.49lon-103.06CO,windlat38.99lon-108.06CO,windlat38.99lon-104.06CO,windlat38.99lon-102.06CO,windlat39.4lon-102.5CO,windlat39.49lon-103.56CO,solarlat37.49lon-108.06CO,solarlat37.49lon-106.06CO,solarlat37.49lon-104.06CO,solarlat37.49lon-102.06CO,solarlat37.99lon-108.56CO,solarlat37.99lon-106.56CO,solarlat37.99lon-104.56CO,solarlat37.99lon-102.56CO,solarlat38.49lon-108.06CO,solarlat38.49lon-106.06CO,solarlat38.49lon-104.06CO,solarlat38.49lon-102.06CO,solarlat38.99lon-107.06CO,solarlat38.99lon-103.06CO,solarlat39.49lon-103.56CO,windlat37.5lon-113.55UT,windlat37.5lon-111.55UT,windlat37.5lon-109.55UT,windlat38.0lon-113.05UT,windlat38.0lon-111.05UT,windlat38.0lon-109.05UT,windlat38.5lon-112.55UT,windlat38.5lon-110.55UT,windlat38.54lon-112.82UT,windlat39.0lon-113.55UT,windlat39.0lon-111.55UT,windlat39.0lon-109.55UT,windlat39.5lon-113.05UT,windlat39.5lon-111.05UT,windlat40.0lon-112.05UT,windlat40.5lon-112.32UT,windlat41.0lon-113.55UT,windlat41.5lon-113.55UT,windlat41.5lon-111.55UT,solarlat37.0lon-109.05UT,solarlat37.5lon-114.05UT,solarlat37.5lon-112.05UT,solarlat37.5lon-110.05UT,solarlat38.0lon-113.55UT,solarlat38.0lon-111.55UT,solarlat38.0lon-109.55UT,solarlat38.5lon-113.55UT,solarlat38.5lon-111.55UT,solarlat38.5lon-109.55UT,solarlat39.0lon-112.55UT,solarlat39.0lon-110.55UT,solarlat39.5lon-113.05UT,solarlat39.5lon-111.05UT,solarlat40.0lon-113.55UT,solarlat40.0lon-111.55UT,solarlat40.5lon-112.55UT,solarlat41.0lon-113.55UT,solarlat41.5lon-113.05UT,solarlat42.0lon-112.55UT,windlat38.99lon-106.06CO,windlat39.49lon-107.56CO,windlat39.49lon-105.56CO,windlat39.99lon-108.56CO,windlat39.99lon-106.56CO,windlat39.99lon-104.56CO,windlat39.99lon-102.56CO,windlat40.49lon-108.56CO,windlat40.49lon-106.56CO,windlat40.49lon-104.56CO,windlat40.49lon-102.56CO,windlat40.97lon-103.06CO,windlat40.99lon-107.06CO,windlat40.99lon-105.06CO,windlat40.99lon-103.55CO,windlat40.99lon-102.06CO,solarlat38.99lon-105.06CO,solarlat39.49lon-107.56CO,solarlat39.49lon-105.56CO,solarlat39.99lon-108.06CO,solarlat39.99lon-106.06CO,solarlat39.99lon-104.06CO,solarlat39.99lon-102.06CO,solarlat40.49lon-107.06CO,solarlat40.49lon-105.06CO,solarlat40.49lon-103.06CO,solarlat40.99lon-108.06CO,solarlat40.99lon-106.06CO,solarlat40.99lon-104.06CO,solarlat40.99lon-102.06CO,windlat40.0lon-110.05UT,windlat40.5lon-110.55UT,windlat41.0lon-111.55UT,solarlat40.0lon-109.55UT,solarlat40.5lon-110.55UT,solarlat41.0lon-111.55UT,solarlat41.5lon-111.05UT,windlat41.22lon-105.05WY,windlat41.49lon-106.06WY,windlat41.49lon-104.06WY,windlat41.72lon-106.05WY,windlat41.99lon-106.56WY,windlat41.99lon-104.56WY,windlat42.0lon-106.15WY,windlat42.49lon-106.06WY,windlat42.49lon-104.06WY,windlat42.99lon-106.56WY,windlat42.99lon-104.56WY,windlat43.0lon-106.05WY,windlat43.49lon-106.56WY,windlat43.49lon-104.56WY,solarlat41.49lon-107.56WY,solarlat41.49lon-105.56WY,solarlat41.99lon-105.56WY,solarlat42.49lon-107.06WY,solarlat42.49lon-105.06WY,solarlat42.99lon-105.56WY,solarlat43.49lon-106.06WY,solarlat43.49lon-104.06WY,windlat41.49lon-110.06WY,windlat41.49lon-108.06WY,windlat41.99lon-110.56WY,windlat41.99lon-108.56WY,windlat42.49lon-110.06WY,windlat42.49lon-108.06WY,windlat42.99lon-110.56WY,windlat42.99lon-108.56WY,windlat43.49lon-110.56WY,windlat43.49lon-108.56WY,windlat43.99lon-109.56WY,windlat43.99lon-107.56WY,windlat44.49lon-110.56WY,windlat44.49lon-108.56WY,windlat44.99lon-110.06WY,windlat44.99lon-108.06WY,solarlat41.49lon-109.56WY,solarlat41.99lon-109.56WY,solarlat41.99lon-107.56WY,solarlat42.49lon-109.06WY,solarlat42.99lon-109.56WY,solarlat42.99lon-107.56WY,solarlat43.49lon-110.06WY,solarlat43.49lon-108.06WY,solarlat43.99lon-110.56WY,solarlat43.99lon-108.56WY,solarlat44.49lon-110.06WY,solarlat44.49lon-108.06WY,solarlat44.99lon-109.56WY,windlat41.54lon-122.92CA,windlat41.54lon-120.92CA,solarlat41.04lon-122.92CA,solarlat41.04lon-120.92CA,solarlat41.54lon-122.42CA,solarlat41.54lon-120.42CA,windlat42.49lon-123.61OR,windlat42.49lon-121.61OR,windlat42.99lon-122.61OR,solarlat42.49lon-123.11OR,solarlat42.49lon-121.11OR,solarlat42.99lon-123.61OR,solarlat42.99lon-121.61OR,solarlat43.49lon-124.11OR,solarlat43.49lon-122.11OR,windlat42.49lon-119.61OR,windlat42.49lon-117.61OR,windlat42.99lon-120.61OR,windlat42.99lon-118.61OR,windlat43.49lon-120.61OR,windlat43.49lon-118.61OR,windlat43.99lon-117.61OR,windlat44.23lon-117.26OR,solarlat42.49lon-119.11OR,solarlat42.49lon-117.11OR,solarlat42.99lon-119.61OR,solarlat42.99lon-117.61OR,solarlat43.49lon-120.11OR,solarlat43.49lon-118.11OR,solarlat43.99lon-118.61OR,solarlat44.99lon-118.11OR,windlat42.49lon-115.74ID,windlat42.98lon-115.42ID,windlat42.99lon-116.74ID,windlat42.99lon-114.74ID,windlat43.49lon-116.74ID,windlat43.49lon-114.74ID,windlat43.99lon-115.74ID,windlat43.99lon-113.74ID,windlat44.49lon-116.74ID,windlat44.49lon-114.74ID,windlat44.99lon-116.74ID,windlat44.99lon-114.74ID,windlat45.49lon-116.24ID,windlat45.49lon-114.24ID,windlat45.99lon-115.74ID,windlat46.49lon-114.74ID,windlat46.99lon-116.24ID,windlat47.49lon-116.24ID,solarlat42.49lon-115.24ID,solarlat42.99lon-115.74ID,solarlat42.99lon-113.74ID,solarlat43.49lon-116.24ID,solarlat43.49lon-114.24ID,solarlat43.99lon-116.74ID,solarlat43.99lon-114.74ID,solarlat44.49lon-116.24ID,solarlat44.49lon-114.24ID,solarlat44.99lon-116.24ID,solarlat44.99lon-114.24ID,solarlat45.49lon-114.74ID,solarlat45.99lon-114.74ID,solarlat46.49lon-115.24ID,solarlat46.99lon-115.24ID,solarlat47.49lon-115.74ID,solarlat47.99lon-116.24ID,windlat42.49lon-113.82ID,windlat42.49lon-112.24ID,windlat42.74lon-115.01ID,windlat42.88lon-115.01ID,windlat42.99lon-112.74ID,windlat43.48lon-111.82ID,windlat43.49lon-112.74ID,windlat43.99lon-111.74ID,windlat44.49lon-112.74ID,solarlat42.49lon-113.24ID,solarlat42.49lon-111.24ID,solarlat42.99lon-111.74ID,solarlat43.49lon-112.24ID,solarlat43.99lon-112.74ID,solarlat44.49lon-112.24ID,windlat43.49lon-122.61OR,windlat43.99lon-123.61OR,windlat43.99lon-121.61OR,windlat43.99lon-119.61OR,windlat44.49lon-123.11OR,windlat44.49lon-121.11OR,windlat44.49lon-119.11OR,windlat44.99lon-122.61OR,windlat44.99lon-120.61OR,windlat44.99lon-118.61OR,windlat45.49lon-122.11OR,windlat45.49lon-120.11OR,windlat45.49lon-118.11OR,windlat45.57lon-120.42OR,windlat45.7lon-120.26OR,windlat45.7lon-119.42OR,windlat45.99lon-123.61OR,windlat45.99lon-117.61OR,solarlat43.99lon-122.61OR,solarlat43.99lon-120.61OR,solarlat44.49lon-122.61OR,solarlat44.49lon-120.61OR,solarlat44.49lon-118.61OR,solarlat44.99lon-122.11OR,solarlat44.99lon-120.11OR,solarlat45.49lon-122.61OR,solarlat45.49lon-120.61OR,solarlat45.49lon-118.61OR,solarlat45.49lon-116.61OR,solarlat45.99lon-118.61OR,windlat43.99lon-105.56WY,windlat44.49lon-104.56WY,windlat44.99lon-104.06WY,solarlat43.99lon-104.56WY,solarlat44.49lon-104.06WY,solarlat44.99lon-105.56WY,windlat44.49lon-106.56WY,windlat44.99lon-106.06WY,solarlat43.99lon-106.56WY,solarlat44.49lon-106.06WY,solarlat44.99lon-107.56WY,windlat44.86lon-112.05MT,windlat45.36lon-113.05MT,windlat45.86lon-113.55MT,windlat46.36lon-114.05MT,windlat46.36lon-112.05MT,windlat46.86lon-113.05MT,windlat47.36lon-115.05MT,windlat47.86lon-114.55MT,windlat48.36lon-115.55MT,windlat48.36lon-113.55MT,windlat48.86lon-115.05MT,solarlat44.86lon-111.55MT,solarlat45.36lon-113.55MT,solarlat45.36lon-111.55MT,solarlat45.86lon-113.05MT,solarlat46.36lon-112.55MT,solarlat46.86lon-114.55MT,solarlat47.36lon-115.05MT,solarlat47.86lon-115.55MT,solarlat47.86lon-113.55MT,solarlat48.36lon-114.55MT,solarlat48.86lon-115.05MT,windlat45.36lon-111.05MT,windlat45.36lon-109.05MT,windlat45.36lon-107.05MT,windlat45.86lon-111.55MT,windlat45.86lon-109.56MT,windlat46.86lon-111.05MT,windlat47.36lon-113.05MT,windlat47.36lon-111.05MT,windlat47.86lon-112.55MT,windlat47.86lon-110.55MT,windlat47.86lon-108.55MT,windlat48.36lon-111.55MT,windlat48.36lon-109.55MT,windlat48.36lon-107.55MT,windlat48.86lon-113.05MT,windlat48.86lon-111.05MT,windlat48.86lon-109.05MT,solarlat45.36lon-109.55MT,solarlat45.36lon-107.55MT,solarlat45.86lon-111.05MT,solarlat45.86lon-109.05MT,solarlat45.86lon-107.05MT,solarlat46.36lon-110.55MT,solarlat46.86lon-112.55MT,solarlat47.36lon-113.05MT,solarlat47.36lon-111.05MT,solarlat47.86lon-111.55MT,solarlat47.86lon-109.55MT,solarlat47.86lon-107.55MT,solarlat48.36lon-112.55MT,solarlat48.36lon-110.55MT,solarlat48.36lon-108.55MT,solarlat48.86lon-113.05MT,solarlat48.86lon-111.05MT,solarlat48.86lon-109.05MT,windlat45.36lon-105.05MT,windlat45.86lon-108.05MT,windlat46.36lon-110.05MT,windlat46.36lon-108.05MT,windlat46.86lon-109.05MT,windlat47.36lon-109.55MT,solarlat45.36lon-105.55MT,solarlat46.36lon-108.55MT,solarlat46.36lon-106.55MT,solarlat46.86lon-110.55MT,solarlat46.86lon-108.55MT,solarlat47.36lon-109.05MT,windlat45.86lon-120.26WA,windlat46.04lon-122.76WA,windlat46.04lon-120.76WA,windlat46.04lon-118.76WA,windlat46.07lon-119.11WA,windlat46.43lon-118.01WA,windlat46.54lon-122.26WA,windlat46.54lon-120.26WA,windlat46.54lon-118.26WA,windlat46.86lon-124.11WA,windlat47.04lon-123.26WA,windlat47.04lon-121.26WA,windlat47.54lon-123.76WA,windlat48.04lon-123.76WA,solarlat46.04lon-121.26WA,solarlat46.04lon-119.26WA,solarlat46.04lon-117.26WA,solarlat46.54lon-122.76WA,solarlat46.54lon-120.76WA,windlat46.49lon-116.74ID,windlat48.49lon-116.74ID,solarlat45.99lon-116.74ID,windlat46.86lon-107.05MT,windlat47.36lon-107.55MT,windlat47.86lon-106.55MT,windlat48.86lon-107.05MT,solarlat46.86lon-106.55MT,solarlat47.36lon-107.05MT,solarlat48.36lon-106.55MT,solarlat48.86lon-107.05MT,windlat47.04lon-119.26WA,windlat47.54lon-119.76WA,solarlat48.04lon-119.76WA,windlat47.04lon-117.26WA,windlat47.54lon-117.76WA,windlat48.04lon-118.76WA,windlat48.54lon-119.76WA,windlat48.54lon-117.76WA,solarlat46.54lon-118.76WA,solarlat47.04lon-118.26WA,solarlat47.54lon-118.76WA,solarlat48.04lon-117.76WA,solarlat48.54lon-120.26WA,solarlat48.54lon-118.26WA,windlat47.54lon-121.76WA,windlat48.04lon-120.76WA,windlat48.54lon-121.76WA,solarlat47.04lon-122.26WA,solarlat47.04lon-120.26WA,solarlat47.54lon-122.76WA,solarlat47.54lon-120.76WA,solarlat48.04lon-121.76WA,solarlat48.54lon-122.26WA
2035-02-11 00:00:00,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035-02-11 01:00:00,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035-02-11 02:00:00,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
