,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2050-08-14 18:00:00,19022.55214,10917.731606,67533.18080599999,9904.352496999998,5961.376873,2887.4811900300006,3720.3350854,6732.0129289999995,22973.431105100004,3831.8898,10466.54136
2050-08-14 19:00:00,18582.815794,10597.034945,64823.435274999996,9594.702305,5890.944987000001,2848.67874233,3741.2700327,6626.910022,22663.7123257,3908.89933,10551.79059
2050-08-14 20:00:00,18298.560044,10192.338609,63827.79477099999,9433.273541999999,5719.077499999999,2774.39100069,3729.3668258,6457.877182499999,22146.7022758,3712.89823,10874.35145
2050-08-14 21:00:00,17259.006801,9334.481682000001,60079.62437900001,9025.219738,5519.954515,2640.72642304,3652.7860522,6103.0260481,20930.5869748,3391.234065,10686.403349999997
2050-08-14 22:00:00,15854.341836,8482.18471,54414.465195000004,8481.300527,5078.956099,2484.64068931,3512.1799309,5542.5741347,19260.792258300004,3061.785378,10175.81016
2050-08-14 23:00:00,14515.457399000003,7770.7246829999995,48901.518326000005,7974.199971000002,4620.263481,2311.533374,3395.9401523000006,5110.391054199999,17625.782746900004,2840.610324,9547.637125000001
2050-08-15 00:00:00,13648.372746000001,7319.312720999998,45292.382751,7576.542810999999,4295.210313,2194.98640426,3337.0057287,4833.8522218,16536.9077296,2698.781158,9140.74041
2050-08-15 01:00:00,13078.181344999999,6988.055176,42453.376689,7205.457886000002,4075.731658,2112.26362406,3271.251436,4626.221721299999,15811.3335358,2611.410276,8962.01067
2050-08-15 02:00:00,12842.82583,6871.500081,40502.354526,6872.162993,3921.7247330000005,2051.2582210799997,3221.4843819,4501.6886956,15309.037495,2571.749656,8819.42625
2050-08-15 03:00:00,12853.684713,6933.371464,39519.219128,6514.6365510000005,3838.9680900000003,2039.52139992,3164.2337329,4467.5717003,14965.230340799999,2571.963162,8674.06938
2050-08-15 04:00:00,13306.713298000002,7286.886678,39743.442005000004,6363.72933,3833.774446,2058.40032889,3146.0178487000003,4553.900979500001,14895.1621478,2664.83081,8668.50117
2050-08-15 05:00:00,14087.990000999998,7746.488649,41558.157685000006,6349.707060000001,3953.297383,2138.02404166,3235.6787273,4811.2649471,15124.4360069,2837.68963,8991.65099
2050-08-15 06:00:00,15129.208560000001,8285.14712,43808.67793,6318.306140000001,4154.82698,2252.0892509,3264.434106,5067.216686,15321.655546,2984.0152,9265.2901
2050-08-15 07:00:00,16112.456839999999,8825.80778,47045.844906,6668.718080000001,4375.64596,2364.7729881,3231.426043,5318.944928999999,16068.091354,3184.2006,9237.621730000003
2050-08-15 08:00:00,16902.80316,9227.93849,50443.940374,7192.36839,4592.04677,2501.3129440000002,3307.129869,5674.255835,16995.144639,3392.9889,9475.27738
2050-08-15 09:00:00,17397.762629999997,9586.87733,54057.171716000004,7741.24899,4824.25357,2585.0303075,3343.024475,5982.621305,18391.399895,3654.1271,9730.10371
2050-08-15 10:00:00,17905.05153,9907.48441,57820.162834,8298.065480000001,5052.21005,2643.9589452000005,3456.258915,6251.269135,20013.205842000003,3842.006,10210.89536
2050-08-15 11:00:00,18192.16852,10232.005099999998,60754.348513,8818.18552,5261.239799999999,2703.0684862,3496.824326,6458.105333000001,21056.228599999995,4046.711,10542.37722
2050-08-15 12:00:00,18715.363499999996,10589.38502,63423.247104999995,9217.29971,5450.46442,2735.9245652,3560.2875959999997,6676.548055,21955.570882,4202.1629,10894.21536
2050-08-15 13:00:00,19085.812510000003,10947.492710000002,66171.628885,9696.29477,5671.595910000001,2833.8799036,3620.095569,6856.275853,22933.744953,4296.4859,11280.80126
2050-08-15 14:00:00,19340.93996,11148.82561,68103.85479499999,10144.79352,5846.963360000001,2903.5860585000005,3732.8369270000003,7040.546169000001,23619.612837000004,4337.6147,11754.86961
2050-08-15 15:00:00,19472.044899999997,11304.55967,68660.361424,10217.30576,5967.59409,2935.8350280000004,3726.3795500000006,7054.42785,24025.620014999997,4339.9528,11979.14299
2050-08-15 16:00:00,19556.7094,11329.82551,68652.261226,9930.15525,6036.42251,2941.3099864,3720.0857960000003,7047.887919,24132.602803,4254.3597,12205.77988
2050-08-15 17:00:00,19396.60784,11144.918153000002,67352.596511,9723.66101,6057.788978,2918.8823913000006,3763.2812146000006,6954.342156999999,23719.6197733,4083.9668,12320.791529999999
