block,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
0,363043.522697744,529279.2836127571,39982.396860183646,257221.84301251138,237998.02314653865,7505.72160562816,2038.531669873451,597520.5744070614,23197.80919577975,2375546.4028599295,11616.174925739077
1,444127.224935882,1167672.6426708088,41077.435961961564,592403.785897784,561312.050836271,11993.773265536207,3968.4057777188195,731327.9784788354,38185.018658546214,4855210.446206687,44063.94498116014
4,344585.2362522501,1211995.0958385689,64176.360391467875,375713.2527088942,315458.88381450454,7942.410949037233,2679.369789342743,395367.14670428156,28596.171412579286,2572067.385268335,54377.79302815895
6,271003.7468810551,863181.063169821,33218.876098462955,193258.58157699998,401823.45700893796,7144.541055379936,1702.8058715532322,638757.1853388392,24268.43998902626,3658104.723486325,10956.62435622329
peaknet2,84898.62343501543,329220.5224013472,14694.752238457373,111132.56938133635,78384.10032635964,1190.4670466144107,668.3929361491133,87516.96974676497,6417.954436118677,740359.713091836,12323.105467734329
peaknetramp5,67606.64371567826,177763.31179070348,1101.8245095864222,26711.85966068758,85521.43918691011,1622.9086023696898,489.4870957184933,98305.65801350711,4641.706202148436,744232.7462012394,2210.5510799664135
peaktotal3,85084.21950151898,306163.44015613815,13660.732763083091,98250.63088457941,63914.97928097481,1390.7962603552467,649.1505176199731,91976.84773832189,6467.512695849225,559228.0316411941,9591.166194916012
