,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
2,Cholla,113_B_3,113,B,3,64.0,Coal Steam,,WECC_AZ,Arizona,4,Navajo,17,4017,271.0,10661.0,1980.0,9999,tangential,dry,N,"Bituminous, Subbituminous",Wet Scrubber,2009.0,0.94,LNC3,,,,B,,ACI,2016.0,,0.8,0.18555,0.18555,0.18555,0.18555,0.1,0.1,0.1,0.99,,,,,,,Yes,Bituminous,113.0,34.9394,-110.3033,,,,,,,,,1.7546330215875177,205.7,POINT (-110.3033 34.9394),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Bituminous,"(10593.0, 10661.0]",12,48.509,27666.340595820366,108.4,0.0,37800.0,4.47,23.176142643144523,1,0.0,1,1,False,False,False,False,113+3
22,Apache Station,160_B_3,160,B,3,94.0,Coal Steam,,WECC_AZ,Arizona,4,Cochise,3,4003,175.0,10765.0,1979.0,9999,wall,dry,N,"Bituminous, Subbituminous",Wet Scrubber,1979.0,0.85,LNB + OFA,SNCR,,2017.0,ESPH,No,ACI,2016.0,,0.15,0.44279,0.30928,0.44279,0.30928,0.1,0.1,0.1,0.9,,,,,,,Yes,Bituminous,160.0,32.0603,-109.8931,,,,,,,,,1.7546330215875177,205.7,POINT (-109.8931 32.0603),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Bituminous,"(10713.0, 10765.0]",12,31.325,17865.71809693197,70.0,0.0,37800.0,4.47,23.35862447738963,1,0.0,1,1,False,False,False,False,160+3
24,Novo BioPower Plant,56616_B_4PB,56616,B,4PB,,Biomass,,WECC_AZ,Arizona,4,Navajo,17,4017,22.2,15411.0,2008.0,9999,,,N,Biomass,,,,,SNCR,,2008.0,B + C,,,,,,0.23622,0.23622,0.23622,0.23622,,,,,,,,,,,,Biomass,56616.0,34.503158,-110.334953,,,,,,,,,0.0,91.9,POINT (-110.334953 34.503158),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Biomass,,4,22.2,2266.393952867941,8.88,0.0,105630.0,5.26,5.26,0,0.0,1,1,False,False,False,False,56616+4PB
88,Palo Verde,6008_G_1,6008,G,1,,Nuclear,,WECC_AZ,Arizona,4,Maricopa,13,4013,1311.0,10456.0,1986.0,2066,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6297576393370804,0.0,POINT (-112.8617 33.3881),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.88,669198.7550022232,1179.9,0.0,93280.0,2.14,8.724745876908512,0,0.0,1,1,False,False,False,False,6008+1
89,Palo Verde,6008_G_2,6008,G,2,,Nuclear,,WECC_AZ,Arizona,4,Maricopa,13,4013,1314.0,10456.0,1986.0,2066,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6297576393370804,0.0,POINT (-112.8617 33.3881),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,105.12,670730.1022676745,1182.6000000000001,0.0,93280.0,2.14,8.724745876908512,0,0.0,1,1,False,False,False,False,6008+2
90,Palo Verde,6008_G_3,6008,G,3,,Nuclear,,WECC_AZ,Arizona,4,Maricopa,13,4013,1312.0,10456.0,1988.0,2068,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6297576393370804,0.0,POINT (-112.8617 33.3881),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.96000000000001,669709.204090707,1180.8,0.0,93280.0,2.14,8.724745876908512,0,0.0,1,1,False,False,False,False,6008+3
136,Hayden,525_B_H2,525,B,H2,318.0,Coal Steam,,WECC_CO,Colorado,8,Routt,107,8107,262.0,10910.0,1976.0,9999,tangential,dry,N,Bituminous,Dry Scrubber,1999.0,0.87,LNC3,SCR,2016.0,,B,,,,,0.13,0.27396,0.04481,0.27396,0.04481,0.05,0.75,1.0,0.9,,,,,,,Yes,Bituminous,525.0,40.4856,-107.185,,,,,,,,,1.7546330215875177,205.7,POINT (-107.185 40.4856),32,33,33,20.7799157782,13.0007552137,p33,rto5,CO,Bituminous,"(10731.0, 11064.25]",12,46.897999999999996,26747.532236549578,104.80000000000001,0.0,37800.0,4.47,23.613046265519817,1,0.0,1,1,False,False,False,False,525+H2
151,OREG 4 Peetz,57134_G_1,57134,G,1,,Non-Fossil Waste,,WECC_CO,Colorado,8,Logan,75,8075,3.2,9530.0,2009.0,9999,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,57134.0,40.9925,-102.853056,,,,,,,,,0.0,160.1,POINT (-102.853056 40.9925),32,33,33,20.7799157782,13.0007552137,p33,rto5,CO,Non-Fossil Waste,"(7019.0, 11414.0]",4,3.2,326.68741662961315,1.2800000000000002,0.0,105630.0,5.26,5.26,0,0.0,1,1,False,False,False,False,57134+1
171,Eagle Valley Clean Energy LLC Biomass,58574_B_01,58574,B,01,,Biomass,,WECC_CO,Colorado,8,Eagle,37,8037,12.6,16131.0,2013.0,9999,,,N,Biomass,,,,FR + NH3,SNCR,,2013.0,ESPH + C,Yes,,,,,0.15272,0.15272,0.15272,0.15272,,,,,,,,,,,,Biomass,58574.0,39.648056,-106.943056,,,,,,,,,0.0,91.9,POINT (-106.943056 39.648056),32,33,33,20.7799157782,13.0007552137,p33,rto5,CO,Biomass,,4,12.6,1286.3317029791017,5.04,0.0,105630.0,5.26,5.26,0,0.0,1,1,False,False,False,False,58574+01
194,Pawnee,6248_B_1,6248,B,1,2866.0,Coal Steam,,WECC_CO,Colorado,8,Morgan,87,8087,505.0,10593.0,1981.0,9999,wall,dry,N,Subbituminous,Dry Scrubber,2014.0,0.9,LNBO,SCR,2014.0,,B,,ACI,2011.0,,0.12,0.2342,0.05543,0.2342,0.05543,0.1,0.1,0.1,0.9500000000000001,,,,,,,Yes,Subbituminous,6248.0,40.2217,-103.6803,,,,,,,,,1.7546330215875177,214.3,POINT (-103.6803 40.2217),32,33,33,20.7799157782,13.0007552137,p33,rto5,CO,Subbituminous,"(10172.0, 10593.0]",12,90.395,51555.357936860826,202.0,0.0,37800.0,4.47,23.056827597676577,1,0.0,1,1,False,False,False,False,6248+1
