,6008+1,6008+2,6008+3,58574+01,7307+6,56090+D190,60421+WHR1,55210+0001,55210+0002,56496+3701,58523+STL2,371+2,57703+01A,57703+01B,57703+01C,117+C4-1COMBINED,147+KY7COMBINED,8068+ST6ACOMBINED,55129+CTG1COMBINED,55306+CTG7COMBINED,10682+GT4COMBINED,55200+UN5COMBINED,55835+CTG1COMBINED,469+5COMBINED,6112+1COMBINED,57028+GTGCOMBINED,55179+CTG1COMBINED,2336+5COMBINED,2336+10COMBINED,55322+CTG1COMBINED,55077+ED01COMBINED,55112+CT01COMBINED,55748+CAG5COMBINED,10156+GEN4COMBINED,260+CT1ACOMBINED,55970+1COMBINED,404+4COMBINED,55333+CTG1COMBINED,10213+GEN7COMBINED,56102+CT1ACOMBINED,56102+ST1COMBINED,56177+GT1COMBINED,54761+GEN1COMBINED,7350+1COMBINED,55328+CTG1COMBINED,54950+CTG1COMBINED,7931+1COMBINED,56227+1COMBINED,58503+GEN1COMBINED,55977+CTG1COMBINED,55343+CTG1COMBINED,55482+G1COMBINED,55700+1STGCOMBINED,55662+CACOMBINED,7999+CT1COMBINED,54238+BIOMS1COMBINED,57696+1COMBINED,60918+00003COMBINED,50119+GENACOMBINED,56090+D182COMBINED,58130+BMB NCOMBINED,58382+GEN1COMBINED,104+1COMBINED,60441+SSPCCOMBINED,58899+GEN-2COMBINED,60016+ACOMBINED,61269+1,61270+1,61271+1,61272+1,61273+1,61274+1,61275+1,61276+1,61277+1,61278+1,61279+1,61280+1,61281+1,61282+1,61283+1,61284+1,61285+1,61286+1,61287+1,61288+1,61289+1,61290+1,61291+1,61292+1,61293+1,61294+1,61295+1,61296+1,61297+1,61298+1,61299+1,61300+1,61301+1,61302+1,61303+1,61304+1,61305+1,61306+1,61307+1,61308+1,61309+1,61310+1,61311+1,61312+1,61313+1,61314+1,61315+1,61316+1,61317+1,61318+1,61319+1,61320+1,61321+1,61322+1,61323+1,61324+1,61325+1,61326+1,61327+1,61328+1,61329+1,61330+1,61331+1,61332+1,61333+1,61334+1,61335+1,61336+1,61337+1,61338+1,61339+1,61348+1,61491+1,58106+MCPC,57192+WTG,61473+1,61465+1,61541+1,59965+LTIGO,59494+WSW,61376+1,61522+1,57530+1,8902+A9,7373+1,851+3,6532+2,50179+GEN2,6459+3,6405+3,50362+GEN1,7789+3,6409+2,917+1
2050-01-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2163063783069887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,0.0,9.17,9.17,0.7006886371725152,0.0,9.17,4.468674917839508,0.9644253979054407,6.1705122686771645,0.0,0.0,0.0,36.61753386329412,6.3739468924132545,0.0,0.107643627138,11.179190589184845,1.1873002849993626,0.46132669291440004,3.7573000000000003,0.0,0.0,0.0,0.0,0.0,0.2564,0.0,0.0,0.0,6.45794309552458
2050-01-17 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22728600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,9.17,9.17,8.188385806530379,0.0,0.0,9.17,4.468674917839508,0.8002737468784424,7.115835242398913,0.0,0.0,0.0,36.45349198342262,1.7347644234140085,0.0,0.107643627138,7.5199396998658905,0.481664346878769,0.45174655327900004,0.0,0.0,0.0,0.012,0.0,2.3213936784422207,0.2564,3.5197,0.0,0.0,4.037545599676555
2050-01-17 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,9.17,9.17,2.863376766573861,0.0,0.0,9.17,4.468674917839508,0.43443628304302384,7.062327158581043,0.0,0.0,0.0,36.7573610804335,0.6648674791163763,0.0,0.107643627138,9.48488177265357,0.4854541653013284,0.4774160007016,3.7573000000000003,0.6311818858856082,2.704,0.0,0.0,2.5562000000000005,0.0,0.0,0.0,0.30549999999999994,4.520042360128972
2050-01-17 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,9.17,9.17,9.17,5.32475471931026,0.0,9.17,4.468674917839508,0.18277010280197012,3.2742481391653735,0.0,0.0,0.0,36.49744128363357,0.9149104472939059,0.0,0.107643627138,6.082254667131987,0.6796156033801045,0.44901077784300003,0.0,0.6854999999999999,0.0,0.0,0.0,2.5562000000000005,0.0,3.5197,0.0,0.30549999999999994,4.136340580323827
2050-01-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8615046345103252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621919118385314,9.17,9.17,9.17,0.0,9.17,9.17,9.17,0.0,0.0,4.468674917839508,0.07685118185694395,2.411830606560121,0.0,0.0,0.0,36.36689816951184,0.7140617068887309,0.0,0.107643627138,1.3589220521148522,1.4328617404363002,0.46425282683860003,0.31055411335702243,0.0,0.0,0.0,0.0,2.5562000000000005,0.2564,0.018281912733468922,0.0,0.30549999999999994,9.628953724613305
2050-01-17 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18724598718268623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.019858411610841,9.17,9.17,0.0,9.17,9.17,9.17,0.0,9.17,4.468674917839508,0.0,2.347117358753528,0.0,0.0,0.0,34.000850015706995,1.5201075733803018,0.0,0.107643627138,1.1812670238944505,1.0885597554095854,0.47886314359840004,3.7573000000000003,0.6854999999999999,0.0,0.012,0.0,2.5562000000000005,0.0,0.8763495547334689,0.0829,0.30549999999999994,11.44795989570351
2050-01-17 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5223639817153796,9.17,9.17,9.17,9.17,9.17,9.17,9.17,0.0,9.17,4.468674917839508,0.0,1.9138541101237254,0.0,0.0,0.0,34.01046347536031,1.3172800038990238,0.0,0.107643627138,0.041035395648399996,0.2002243719208902,0.4561865778456,3.7573000000000003,0.0,0.0,0.012,0.0,2.5562000000000005,0.0,2.6731961720370205,0.0,0.0,13.253514102392039
2050-01-17 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,2.4164011375139616,9.17,4.468674917839508,0.0,2.076793014378512,0.0,0.0,0.0,29.58660073969432,3.4179016199233736,0.0,0.107643627138,0.030217884185600005,0.3340025045240071,0.447194345907,2.8504355013139655,0.0,0.0,0.012,0.0,0.0,0.2564,2.6252960307334683,0.0,0.0,15.450687221544907
2050-01-17 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,0.0,9.17,2.3224817569796308,0.0,0.8163844069244498,0.0,0.0,0.0,24.24910612814821,7.2277534332179805,0.0,0.107643627138,0.037250923622400005,0.4352522408210503,0.49560426851680006,3.7573000000000003,0.0,2.704,0.012,0.0,0.0,0.0,3.5197,0.0829,0.0,9.622590569626581
2050-01-17 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,4.389883360592453,9.17,4.468674917839508,0.0,0.06480871542713483,0.0,0.0,0.26356109395455735,19.1086390682155,7.773237464324956,0.0,0.107643627138,0.45542728037123453,0.0,0.40760896725400003,1.6669302593139683,0.1254639474960466,0.0,0.0,0.0,0.0,0.2564,2.5271780487334685,0.0829,0.30549999999999994,12.5183675074916
