,WAOR,WAID,WAMT,ORCA,ORNV,ORID,CANV,CAUT,CAAZ,NVID,NVUT,NVAZ,IDMT,IDWY,IDUT,MTWY,WYUT,WYCO,UTAZ,UTNM,UTCO,AZNM,NMCO,ORWA,IDWA,MTWA,CAOR,NVOR,IDOR,NVCA,UTCA,AZCA,IDNV,UTNV,AZNV,MTID,WYID,UTID,WYMT,UTWY,COWY,AZUT,NMUT,COUT,NMAZ,CONM
2050-01-17 00:00:00,6.373638669121487,0.0,0.0,0.0,0.0,0.0,3.394001167958853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.348813248806403,0.0,0.950654405481071,0.0,0.0,0.0,3.0228008908661437,0.0,16.258874981493253,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,0.0,0.0,0.5883843381277514,1.5373197686502384,0.0,2.2564970142070253,21.057366928813916,0.0,0.0,0.0,0.0,0.0,0.2670433754370798,0.0,5.421678209881621,0.0
2050-01-17 01:00:00,2.490206087016224,0.0,0.0,0.0,0.0,0.0,3.3519153616430644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05274262402148,2.0694582764221963,5.256583343788383,0.0,0.0,0.0,0.0,0.0,14.177672623996578,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,0.06954989038178638,0.0,0.5883843381277514,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12799833486589,0.0
2050-01-17 02:00:00,5.934161923512606,0.0,0.0,0.0,0.0,0.0,4.233771983791243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.125408809730924,0.0,1.3727739504941407,0.0,0.0,0.0,1.6866933847719476,0.0,17.488446754124332,1.3814969276462288,1.0977083516422557,0.24491558981940642,1.2786260022488896,0.0,0.0,0.0,0.0,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,0.870513357378792,0.0,0.0,0.0,0.0,0.0,5.421678209881621,0.0
2050-01-17 03:00:00,2.1175843109274903,0.0,0.0,0.0,0.0,0.0,3.8993377299913163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.542596688343897,5.65063188508908,7.457277565076465,0.0,0.0,0.0,0.0,0.0,14.160217689996578,1.3814969276462288,1.0977083516422557,0.45702241293084045,1.2786260022488896,0.0,0.0,0.0,0.5883843381277514,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,0.6324281093919186,0.0,0.0,0.0,0.0,0.0,3.6986435911319866,0.0
2050-01-17 04:00:00,6.689929433612573,0.0,0.0,0.0,0.0,0.0,3.558678196379905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46673726934489,8.672099238950727,11.382811062827404,0.0,0.0,0.0,0.0,0.0,14.04281588199658,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,0.0,0.0,0.5883843381277514,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,0.8806106028605238,0.0,0.0,0.0,0.0,0.0,0.0,1.1335477135633134
2050-01-17 05:00:00,6.689929433612573,0.0,0.0,0.0,0.0,0.0,3.806462346906222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.09049705360279,8.809619410293292,8.830418897263154,0.0,0.0,0.0,0.0,0.0,13.78166197899658,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,6.478349787009256,0.0,0.5883843381277514,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,0.12774699105887044,0.0,0.0,0.0,0.0,0.0,0.0,1.4238574485321571
2050-01-17 06:00:00,5.994841175398306,0.0,0.0,0.0,0.0,0.0,3.4918224380995935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.804959032063593,11.194755978215415,10.729500253203653,1.1670510609417355,0.0,0.0,0.0,0.0,13.32914796199658,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,11.225376685664784,0.0,0.5883843381277514,1.5373197686502384,0.6606868235434711,0.0,21.057366928813916,0.0,0.5888247828917947,0.0,0.0,0.0,0.0,0.0,0.0,1.8771802594283702
2050-01-17 07:00:00,6.689929433612573,0.0,0.0,0.0,0.0,0.0,4.113093724800958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1278835227117,11.216028409152537,11.382811062827404,1.1670510609417355,0.0,0.0,0.0,0.0,12.964584941996579,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,19.202028008156738,0.0,0.5883843381277514,1.5373197686502384,0.0,0.0,21.057366928813916,0.0,1.3509952477082692,0.0,0.0,0.0,0.0,0.0,0.0,2.0000131030734223
2050-01-17 08:00:00,5.685430139647803,0.0,0.0,0.0,0.0,0.0,3.326175943362751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.90900820616097,12.45084594233473,10.442190991098387,1.1349291240445054,0.0,0.0,0.0,0.0,18.027342252884743,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,24.315103304059793,0.0,0.5883843381277514,1.5373197686502384,0.6606868235434711,2.479435495671752,21.057366928813916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8813356721424421
2050-01-17 09:00:00,6.689929433612573,0.0,0.0,0.0,0.0,0.0,3.636648373269844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.377568672792265,12.45084594233473,11.382811062827404,1.1670510609417355,0.0,0.0,0.0,0.0,15.97685731326637,1.3814969276462288,1.0977083516422557,0.0,1.2786260022488896,0.0,29.79364280073327,0.0,0.5883843381277514,1.5373197686502384,0.0,3.066085338178727,21.057366928813916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3506841281411754
