,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
88,Palo Verde,6008_G_1,6008,G,1,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1311.0,10456.0,1986.0,2066.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.88,669198.7550022232,1179.9,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+1,,,,,,,,,,,,
89,Palo Verde,6008_G_2,6008,G,2,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1314.0,10456.0,1986.0,2066.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,105.12,670730.1022676745,1182.6000000000001,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+2,,,,,,,,,,,,
90,Palo Verde,6008_G_3,6008,G,3,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1312.0,10456.0,1988.0,2068.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.96000000000001,669709.204090707,1180.8,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+3,,,,,,,,,,,,
171,Eagle Valley Clean Energy LLC Biomass,58574_B_01,58574,B,01,,Biomass,,WECC_CO,Colorado,8.0,Eagle,37.0,8037.0,12.6,16131.0,2013.0,9999.0,,,N,Biomass,,,,FR + NH3,SNCR,,2013.0,ESPH + C,Yes,,,,,0.15272,0.15272,0.15272,0.15272,,,,,,,,,,,,Biomass,58574.0,39.648056,-106.943056,,,,,,,,,0.0,91.9,POINT (-106.943056 39.648056),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Biomass,,4,12.6,1286.3317029791017,5.04,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,False,False,False,58574+01,,,,,,,,,,,,
854,Redding Power,7307_G_6,7307,G,6,89746.0,Combined Cycle,,WEC_BANC,California,6.0,Shasta,89.0,6089.0,41.0,8622.0,2011.0,9999.0,,,N,Natural Gas,,,,other,SCR,,,,,,,,,0.00294,0.00294,0.00294,0.00294,,,,,,,,,,,,Natural Gas,7307.0,40.507292,-122.423281,,,,,,,,,3.6509190329230177,117.0,POINT (-122.423281 40.507292),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,CA,Combined Cycle,"(8523.0, 11346.0]",4,26.199,4185.682525566918,16.400000000000002,0.0,13170.0,3.5999999999999996,35.07822390186226,1,0.0,1,1,0,False,False,False,7307+6,,,,,,,,,,,,
1022,Blacksand Generating Facility,56090_G_D190,56090,G,D190,,Fossil Waste,,WECC_SCE,California,6.0,Orange,59.0,6059.0,0.3,11724.0,2012.0,9999.0,,,N,Fossil Waste,,,,,,,,,,,,,,0.04795,0.04795,0.04795,0.04795,,,,,,,,,,,,Fossil Waste,56090.0,33.9328,-117.855,,,,,,,,,0.0,160.1,POINT (-117.855 33.9328),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,CA,Fossil Waste,"(5124.999, 11724.0]",0,0.3,0.0,0.075,0.0,37800.0,4.47,4.47,0,0.0,1,1,0,False,False,False,56090+D190,,,,,,,,,,,,
1747,Veyo Heat Recovery Project,60421_G_WHR1,60421,G,WHR1,,Non-Fossil Waste,,WECC_UT,Utah,49.0,Washington,53.0,49053.0,8.4,7050.0,2016.0,9999.0,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,60421.0,37.348,-113.765,,,,,,,,,0.0,160.1,POINT (-113.765 37.348),24.0,25.0,25.0,22.1867344858,19.3243237465,p25,rto2,UT,Non-Fossil Waste,"(7049.999, 10323.0]",4,8.4,857.5544686527345,3.3600000000000003,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,False,False,False,60421+WHR1,,,,,,,,,,,,
1926,Afton Generating Station,55210_G_0001,55210,G,0001,4144.0,Combined Cycle,,WECC_NM,New Mexico,35.0,Dona Ana,13.0,35013.0,141.0,8542.0,2002.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,SCR,2007.0,,,,,,,0.001,0.02257,0.02257,0.02257,0.02257,,,,,,,,,,,,Natural Gas,55210.0,32.114185,-106.846483,,,,,,,,,3.6509190329230177,117.0,POINT (-106.846483 32.114185),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,NM,Combined Cycle,"(8034.0, 8542.0]",4,44.838,14394.66429524233,56.400000000000006,0.0,13170.0,3.5999999999999996,34.78615037922842,1,0.0,1,1,0,False,False,False,55210+0001,,,,,,,,,,,,
1927,Afton Generating Station,55210_G_0002,55210,G,0002,,Combined Cycle,,WECC_NM,New Mexico,35.0,Dona Ana,13.0,35013.0,94.6,8542.0,2007.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O + NH3,SCR,2007.0,,,,,,,0.001,0.02257,0.02257,0.02257,0.02257,,,,,,,,,,,,Natural Gas,55210.0,32.114185,-106.846483,,,,,,,,,3.6509190329230177,117.0,POINT (-106.846483 32.114185),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,NM,Combined Cycle,"(8034.0, 8542.0]",4,60.4494,9657.69675411294,37.839999999999996,0.0,13170.0,3.5999999999999996,34.78615037922842,1,0.0,1,1,0,False,False,False,55210+0002,,,,,,,,,,,,
2080,Phillips 66 Billings Refinery,56496_G_3701,56496,G,3701,,Fossil Waste,,WECC_MT,Montana,30.0,Yellowstone,111.0,30111.0,1.5,11724.0,2007.0,9999.0,,,N,Fossil Waste,,,,,,,,,,,,,,0.04795,0.04795,0.04795,0.04795,,,,,,,,,,,,Fossil Waste,56496.0,45.7769,-108.4911,,,,,,,,,0.0,160.1,POINT (-108.4911 45.7769),19.0,20.0,20.0,20.9742682172,7.3768607769,p20,rto2,MT,Fossil Waste,,0,1.5,0.0,0.375,0.0,37800.0,4.47,4.47,0,0.0,1,1,0,False,False,False,56496+3701,,,,,,,,,,,,
