,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
16,Glen Canyon Dam,153_G_4,153,G,4,,Hydro,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,165.0,0.0,1965.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,153+4,,,,,,,,,,,,
17,Glen Canyon Dam,153_G_5,153,G,5,,Hydro,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,165.0,0.0,1965.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,153+5,,,,,,,,,,,,
18,Glen Canyon Dam,153_G_6,153,G,6,,Hydro,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,165.0,0.0,1965.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,153+6,,,,,,,,,,,,
19,Glen Canyon Dam,153_G_7,153,G,7,,Hydro,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,157.0,0.0,1966.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,157.0,16.028101378390396,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,153+7,,,,,,,,,,,,
20,Glen Canyon Dam,153_G_8,153,G,8,,Hydro,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,165.0,0.0,1966.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,153.0,36.936614,-111.483872,,,,,,,,,0.0,0.0,POINT (-111.483872 36.936614),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,165.0,16.84481991996443,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,153+8,,,,,,,,,,,,
26,Dry Lake Wind LLC,57098_G_1,57098,G,1,,Onshore Wind,,WECC_AZ,Arizona,4.0,Navajo,17.0,4017.0,63.0,0.0,2009.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57098.0,34.6596,-110.2842,,,,,,,,,0.0,0.0,POINT (-110.2842 34.6596),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Wind,,0,63.0,6.431658514895509,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57098+1,,,,,,,,,,,,
31,Dry Lake Wind II LLC,57379_G_1,57379,G,1,,Onshore Wind,,WECC_AZ,Arizona,4.0,Navajo,17.0,4017.0,65.1,0.0,2010.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57379.0,34.6062,-110.1734,,,,,,,,,0.0,0.0,POINT (-110.1734 34.6062),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Wind,,0,65.1,6.646047132058692,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,57379+1,,,,,,,,,,,,
68,Perrin Ranch Wind LLC,58155_G_GEN1,58155,G,GEN1,,Onshore Wind,,WECC_AZ,Arizona,4.0,Coconino,5.0,4005.0,99.2,0.0,2012.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58155.0,35.415556,-112.271111,,,,,,,,,0.0,0.0,POINT (-112.271111 35.415556),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Wind,,0,99.2,10.12730991551801,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58155+GEN1,,,,,,,,,,,,
82,Red Horse 2,58833_G_RH2W,58833,G,RH2W,,Onshore Wind,,WECC_AZ,Arizona,4.0,Cochise,3.0,4003.0,30.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58833.0,32.286111,-110.088056,,,,,,,,,0.0,0.0,POINT (-110.088056 32.286111),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Wind,,0,30.0,3.0626945309026232,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58833+RH2W,,,,,,,,,,,,
88,Palo Verde,6008_G_1,6008,G,1,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1311.0,10456.0,1986.0,2066.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.88,669198.7550022232,1179.9,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+1,,,,,,,,,,,,
