block,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
0,175529.3200307523,190499.6248544862,16278.191724453096,148953.79256561326,228724.92829628318,2008.6447652418262,984.8846670303151,305640.25346303376,11778.767346623565,1546115.311026978,14878.101481343696
1,193327.5799303094,460425.4589123359,25362.926787231827,295228.8890716988,327952.79847915005,7008.017085350813,1745.720296260138,318026.952640023,20050.445490235794,2054459.7871569376,37055.236038371106
2,183022.02876298584,469051.6155754985,34982.24778214909,239844.54539955594,167629.38719806948,4721.3701901432005,1422.6209996526068,211806.41104605762,15154.813310871665,1642970.0212114418,33993.05020212546
6,130903.70538515958,437195.52336543845,16166.852620845966,138878.25922436654,165349.63566723722,1298.1510271577645,888.8156869865878,334046.66537343926,12486.052868506484,1927257.178672872,8553.009389525603
peaknet4,83948.2372745228,309920.8894821159,13052.578305624453,100249.24633108868,50638.6599228604,1767.7331019546755,655.4121462136991,91976.84773832189,6467.512695849225,708316.155761525,10896.62439947048
peaknetramp5,65344.139210764224,183169.9691985114,1138.5909803915615,42118.55052200364,91516.62428836343,821.8876252122739,484.5735764563371,98305.65801350711,4641.706202148436,548373.6938443829,2007.4922458337053
peaktotal3,86951.01453092293,316263.58304185054,14583.18529761485,105705.31108545055,89457.72704635143,2325.704196623295,672.2814330129739,89468.88543237551,6620.951685600538,700196.47633864,9044.405597757614
