,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
2050-01-17 00:00:00,964.4253979057058,36617.53386329713,6170.512268672662,0.0,6373.946892414065,11179.190589184589,0.0,107.643627138,0.0,461.32669291440004,1187.3002850000726
2050-01-17 01:00:00,800.2737468786625,36453.49198342562,7115.835242392744,0.0,1734.7644234142278,7519.939699865719,0.0,107.643627138,0.0,451.746553279,481.6643468790571
2050-01-17 02:00:00,434.43628304314325,36757.361080436516,7062.327158574846,0.0,664.8674791164592,9484.881772653353,0.0,107.643627138,0.0,477.4160007016,485.45416530161873
2050-01-17 03:00:00,182.77010280202038,36497.441283636574,3274.2481391657097,0.0,914.9104472940209,6082.254667131849,0.0,107.643627138,0.0,449.010777843,679.615603380511
2050-01-17 04:00:00,76.85118185696508,36366.89816951483,2411.830606561422,0.0,714.0617068888207,1358.9220521148227,0.0,107.643627138,0.0,464.2528268386,1432.861740437157
2050-01-17 05:00:00,0.0,34000.850015709795,2347.117358754773,0.0,1520.107573380494,1181.2670238944252,0.0,107.643627138,0.0,478.86314359840003,1088.5597554102364
2050-01-17 06:00:00,0.0,34010.46347536311,1913.8541101243623,0.0,1317.2800038991902,41.0353956484,0.0,107.643627138,0.0,456.1865778456,200.22437192100998
2050-01-17 07:00:00,0.0,29586.600739696758,2076.7930143766825,0.0,3417.9016199238076,30.217884185600003,0.0,107.643627138,0.0,447.194345907,334.00250452420687
2050-01-17 08:00:00,0.0,24249.106128150208,816.3844069230473,0.0,7227.7534332189,37.2509236224,0.0,107.643627138,0.0,495.60426851680006,435.25224082131064
2050-01-17 09:00:00,0.0,19108.639068217075,64.80871542709126,0.0,7773.2374643259445,455.4272803712246,0.0,107.643627138,0.0,407.60896725400005,0.0
2050-01-17 10:00:00,0.0,20859.601370745735,1067.169231130116,0.0,7781.54805985014,5911.999291503995,0.0,107.643627138,0.0,379.82835168500003,412.9108734802671
2050-01-17 11:00:00,0.0,22461.82870182349,3066.323685000625,0.0,7781.168510915963,10037.286132692338,0.0,0.0,0.0,465.96076233900004,295.579182236497
2050-01-17 12:00:00,0.0,24349.121113235833,5924.916816338298,0.0,7780.603248582451,9443.480558465426,0.0,107.643627138,0.0,327.49804035320005,0.0
2050-01-17 13:00:00,0.0,20861.550207690736,6475.987071906509,0.0,7786.60064153259,7809.3464639874965,0.0,107.643627138,0.0,332.5448324476,0.0
2050-01-17 14:00:00,0.0,24790.051438537048,6503.622068775303,0.0,7785.6996638967885,9417.18127619513,0.0,107.643627138,0.0,403.661179506,6301.636076938142
2050-01-17 15:00:00,0.0,24592.047331266112,5657.982843679685,0.0,7803.4196985245435,10755.85812113999,0.0,107.643627138,0.0,471.62960064600003,9560.329635732933
