,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
2946,RET  Modesto Solar,58039_G_1,58039,G,1,,Solar PV,,WEC_CALN,California,6,Stanislaus,99,6099,25.0,0,2012,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58039.0,37.734167,-120.995556,,,,,,,,,0.0,0.0,POINT (-120.995556 37.734167),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2954,Intel Folsom,58086_G_1,58086,G,1,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,0.5,0,2010,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58086.0,38.645119,-121.172999,,,,,,,,,0.0,0.0,POINT (-121.172999 38.645119),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2955,Intel Folsom,58086_G_2,58086,G,2,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,0.5,0,2010,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58086.0,38.645119,-121.172999,,,,,,,,,0.0,0.0,POINT (-121.172999 38.645119),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2961,Foundation Superior Farms,58104_G_WTG1,58104,G,WTG1,,Onshore Wind,,WEC_CALN,California,6,Solano,95,6095,1.0,0,2012,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58104.0,38.42,-121.818056,,,,,,,,,0.0,0.0,POINT (-121.818056 38.42),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2962,Foundation Wal-Mart Red Bluff,58105_G_WTG1,58105,G,WTG1,,Onshore Wind,,WEC_CALN,California,6,Tehama,103,6103,1.0,0,2012,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58105.0,40.111111,-122.193889,,,,,,,,,0.0,0.0,POINT (-122.193889 40.111111),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2964,Foundation Cemex Madison,58112_G_WTG1,58112,G,WTG1,,Onshore Wind,,WEC_CALN,California,6,Yolo,113,6113,1.0,0,2012,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58112.0,38.692778,-121.9325,,,,,,,,,0.0,0.0,POINT (-121.9325 38.692778),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2969,La Joya Del Sol,58118_G_JDS1,58118,G,JDS1,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,1.5,0,2012,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58118.0,36.678611,-119.7975,,,,,,,,,0.0,0.0,POINT (-119.7975 36.678611),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2970,Depot Park Solar System,58119_G_DPSS,58119,G,DPSS,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,3.0,0,2010,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58119.0,38.515,-121.398333,,,,,,,,,0.0,0.0,POINT (-121.398333 38.515),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
2992,RE Kansas South LLC,58148_G_KS,58148,G,KS,,Solar PV,,WEC_CALN,California,6,Kings,31,6031,20.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58148.0,36.226111,-119.834167,,,,,,,,,0.0,0.0,POINT (-119.834167 36.226111),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3005,Parnassus Central Utility Plant,58198_G_GTG1,58198,G,GTG1,,Combined Cycle,,WEC_CALN,California,6,San Francisco,75,6075,5.2,7590,1996,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.00378,0.00378,0.00378,0.00378,,,,,,,,,,,,Natural Gas,58198.0,37.762524,-122.456747,,,,,,,,,2.381000415400321,117.0,POINT (-122.456747 37.762524),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3006,Parnassus Central Utility Plant,58198_G_GTG2,58198,G,GTG2,,Combined Cycle,,WEC_CALN,California,6,San Francisco,75,6075,5.5,7590,1996,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.00378,0.00378,0.00378,0.00378,,,,,,,,,,,,Natural Gas,58198.0,37.762524,-122.456747,,,,,,,,,2.381000415400321,117.0,POINT (-122.456747 37.762524),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3007,Parnassus Central Utility Plant,58198_G_STG1,58198,G,STG1,,Combined Cycle,,WEC_CALN,California,6,San Francisco,75,6075,1.8,7590,1996,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.00378,0.00378,0.00378,0.00378,,,,,,,,,,,,Natural Gas,58198.0,37.762524,-122.456747,,,,,,,,,2.381000415400321,117.0,POINT (-122.456747 37.762524),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3009,Grassland 3&4 Solar Project,58204_G_INV3,58204,G,INV3,,Solar PV,,WEC_CALN,California,6,Yolo,113,6113,2.5,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58204.0,38.500278,-121.694167,,,,,,,,,0.0,0.0,POINT (-121.694167 38.500278),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3010,West Gates Solar Station,58206_G_1,58206,G,1,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,10.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58206.0,36.142222,-120.1325,,,,,,,,,0.0,0.0,POINT (-120.1325 36.142222),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3012,J.R. Simplot Company,58216_G_1,58216,G,1,,Non-Fossil Waste,,WEC_CALN,California,6,San Joaquin,77,6077,3.2,11414,1993,9999,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,58216.0,37.806944,-121.2775,,,,,,,,,0.0,160.1,POINT (-121.2775 37.806944),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3013,Grassland 1&2 Solar Project,58217_G_INV4,58217,G,INV4,,Solar PV,,WEC_CALN,California,6,Yolo,113,6113,2.5,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58217.0,38.500278,-121.694167,,,,,,,,,0.0,0.0,POINT (-121.694167 38.500278),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3028,FAA NorCal TRACON,58261_G_1,58261,G,1,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,1.0,0,2012,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58261.0,38.559533,-121.257556,,,,,,,,,0.0,0.0,POINT (-121.257556 38.559533),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3050,Xilinx San Jose,58299_G_XLX,58299,G,XLX,,Fuel Cell,,WEC_CALN,California,6,Santa Clara,85,6085,1.0,7242,2012,9999,,,N,Natural Gas,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Natural Gas,58299.0,37.252778,-121.934167,,,,,,,,,2.381000415400321,117.0,POINT (-121.934167 37.252778),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3052,Juniper Networks Sunnyvale,58301_G_JPR,58301,G,JPR,,Fuel Cell,,WEC_CALN,California,6,Santa Clara,85,6085,1.0,7115,2012,9999,,,N,Natural Gas,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Natural Gas,58301.0,37.406944,-122.026944,,,,,,,,,2.381000415400321,117.0,POINT (-122.026944 37.406944),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3054,Taylor Farms Salinas,58303_G_TLR,58303,G,TLR,,Fuel Cell,,WEC_CALN,California,6,Monterey,53,6053,1.0,8835,2012,9999,,,N,Natural Gas,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Natural Gas,58303.0,36.6575,-121.623333,,,,,,,,,2.381000415400321,117.0,POINT (-121.623333 36.6575),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3073,G2 Energy Hay Rd,58320_G_362,58320,G,362,,Landfill Gas,,WEC_CALN,California,6,Solano,95,6095,1.5,13500,2013,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.01746,0.01746,0.01746,0.01746,,,,,,,,,,,,Landfill Gas,58320.0,38.314722,-121.833611,,,,,,,,,0.0,117.0,POINT (-121.833611 38.314722),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3079,Gridley Main,58370_G_GEN1,58370,G,GEN1,,Solar PV,,WEC_CALN,California,6,Butte,7,6007,1.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58370.0,39.373333,-121.684167,,,,,,,,,0.0,0.0,POINT (-121.684167 39.373333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3080,Gridley Main Two,58371_G_GEN1,58371,G,GEN1,,Solar PV,,WEC_CALN,California,6,Butte,7,6007,2.5,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58371.0,39.373333,-121.681667,,,,,,,,,0.0,0.0,POINT (-121.681667 39.373333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3082,Corcoran Solar,58374_G_CSCA,58374,G,CSCA,,Solar PV,,WEC_CALN,California,6,Kings,31,6031,20.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58374.0,36.138333,-119.573333,,,,,,,,,0.0,0.0,POINT (-119.573333 36.138333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3083,Oakley Solar Project,58376_G_1,58376,G,1,,Solar PV,,WEC_CALN,California,6,Contra Costa,13,6013,1.5,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58376.0,38.001667,-121.747778,,,,,,,,,0.0,0.0,POINT (-121.747778 38.001667),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3084,Cold Canyon 1,58379_G_W3998,58379,G,W3998,,Landfill Gas,,WEC_CALN,California,6,San Luis Obispo,79,6079,1.5,13500,2013,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.02028,0.02028,0.02028,0.02028,,,,,,,,,,,,Landfill Gas,58379.0,35.186667,-120.599444,,,,,,,,,0.0,117.0,POINT (-120.599444 35.186667),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3106,Ameresco Johnson Canyon,58397_G_ENG1,58397,G,ENG1,,Landfill Gas,,WEC_CALN,California,6,Monterey,53,6053,1.4,13500,2013,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.16539,0.16539,0.16539,0.16539,,,,,,,,,,,,Landfill Gas,58397.0,36.534167,-121.408611,,,,,,,,,0.0,117.0,POINT (-121.408611 36.534167),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3127,Ameresco Vasco Road,58435_G_ENG1,58435,G,ENG1,,Landfill Gas,,WEC_CALN,California,6,Alameda,1,6001,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.08704,0.08704,0.08704,0.08704,,,,,,,,,,,,Landfill Gas,58435.0,37.754444,-121.728889,,,,,,,,,0.0,117.0,POINT (-121.728889 37.754444),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3128,Ameresco Vasco Road,58435_G_ENG2,58435,G,ENG2,,Landfill Gas,,WEC_CALN,California,6,Alameda,1,6001,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.08704,0.08704,0.08704,0.08704,,,,,,,,,,,,Landfill Gas,58435.0,37.754444,-121.728889,,,,,,,,,0.0,117.0,POINT (-121.728889 37.754444),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3129,Ameresco San Joaquin,58436_G_ENG1,58436,G,ENG1,,Landfill Gas,,WEC_CALN,California,6,San Joaquin,77,6077,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.03259,0.03259,0.03259,0.03259,,,,,,,,,,,,Landfill Gas,58436.0,38.029722,-120.929722,,,,,,,,,0.0,117.0,POINT (-120.929722 38.029722),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3130,Ameresco San Joaquin,58436_G_ENG2,58436,G,ENG2,,Landfill Gas,,WEC_CALN,California,6,San Joaquin,77,6077,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.03259,0.03259,0.03259,0.03259,,,,,,,,,,,,Landfill Gas,58436.0,38.029722,-120.929722,,,,,,,,,0.0,117.0,POINT (-120.929722 38.029722),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3131,Ameresco Forward,58437_G_ENG1,58437,G,ENG1,,Landfill Gas,,WEC_CALN,California,6,San Joaquin,77,6077,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.03193,0.03193,0.03193,0.03193,,,,,,,,,,,,Landfill Gas,58437.0,37.883406,-121.185104,,,,,,,,,0.0,117.0,POINT (-121.185104 37.883406),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3132,Ameresco Forward,58437_G_ENG2,58437,G,ENG2,,Landfill Gas,,WEC_CALN,California,6,San Joaquin,77,6077,2.1,13500,2014,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.03193,0.03193,0.03193,0.03193,,,,,,,,,,,,Landfill Gas,58437.0,37.883406,-121.185104,,,,,,,,,0.0,117.0,POINT (-121.185104 37.883406),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3170,Buena Vista Biomass Power,58472_B_1,58472,B,1,,Biomass,,WEC_CALN,California,6,Amador,5,6005,17.8,17492,2012,9999,,,N,Biomass,,,,,SNCR,,2012.0,B,,,,,,0.09082,0.09082,0.09082,0.09082,,,,,,,,,,,,Biomass,58472.0,38.277778,-120.913611,,,,,,,,,0.0,91.9,POINT (-120.913611 38.277778),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3187,Bear Creek Solar,58508_G_PV3,58508,G,PV3,,Solar PV,,WEC_CALN,California,6,San Joaquin,77,6077,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58508.0,38.136389,-121.148889,,,,,,,,,0.0,0.0,POINT (-121.148889 38.136389),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3188,Vintner Solar,58509_G_PV4,58509,G,PV4,,Solar PV,,WEC_CALN,California,6,San Luis Obispo,79,6079,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58509.0,35.55795,-120.68287,,,,,,,,,0.0,0.0,POINT (-120.68287 35.55795),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3189,Kettleman Solar Project,58510_G_PV5,58510,G,PV5,,Solar PV,,WEC_CALN,California,6,San Joaquin,77,6077,1.0,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58510.0,38.12139,-121.14122,,,,,,,,,0.0,0.0,POINT (-121.14122 38.12139),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3196,Madera Community Hospital,58522_G_1,58522,G,1,,Solar PV,,WEC_CALN,California,6,Madera,39,6039,1.0,0,2011,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58522.0,36.941111,-120.046667,,,,,,,,,0.0,0.0,POINT (-120.046667 36.941111),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3198,City of Hayward WWTP,58525_G_1,58525,G,1,,Solar PV,,WEC_CALN,California,6,Alameda,1,6001,1.0,0,2010,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58525.0,37.633526,-122.139717,,,,,,,,,0.0,0.0,POINT (-122.139717 37.633526),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3199,City of Hayward WWTP,58525_G_COGEN,58525,G,COGEN,,Non-Fossil Waste,,WEC_CALN,California,6,Alameda,1,6001,1.1,11414,2014,9999,,,Y,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,58525.0,37.633526,-122.139717,,,,,,,,,0.0,160.1,POINT (-122.139717 37.633526),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3233,Sonora 1,58578_G_SON1,58578,G,SON1,,Solar PV,,WEC_CALN,California,6,Tuolumne,109,6109,1.5,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58578.0,37.889753,-120.528723,,,,,,,,,0.0,0.0,POINT (-120.528723 37.889753),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3251,One Market Plaza,58607_G_1,58607,G,1,,Combustion Turbine,IC Engine,WEC_CALN,California,6,San Francisco,75,6075,0.5,11787,2003,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.39179,0.39179,0.39179,0.39179,,,,,,,,,,,,Natural Gas,58607.0,37.793333,-122.394167,,,,,,,,,2.381000415400321,117.0,POINT (-122.394167 37.793333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3252,One Market Plaza,58607_G_2,58607,G,2,,Combustion Turbine,IC Engine,WEC_CALN,California,6,San Francisco,75,6075,0.5,11787,2003,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.39179,0.39179,0.39179,0.39179,,,,,,,,,,,,Natural Gas,58607.0,37.793333,-122.394167,,,,,,,,,2.381000415400321,117.0,POINT (-122.394167 37.793333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3253,One Market Plaza,58607_G_3,58607,G,3,,Combustion Turbine,IC Engine,WEC_CALN,California,6,San Francisco,75,6075,0.5,11787,2003,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.39179,0.39179,0.39179,0.39179,,,,,,,,,,,,Natural Gas,58607.0,37.793333,-122.394167,,,,,,,,,2.381000415400321,117.0,POINT (-122.394167 37.793333),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3258,Westlands Solar PV Farm,58616_G_WSF1,58616,G,WSF1,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,18.0,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58616.0,36.138056,-120.075833,,,,,,,,,0.0,0.0,POINT (-120.075833 36.138056),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3262,Santa Rita Jail,58625_G_SRJBA,58625,G,SRJBA,,Batteries,,WEC_CALN,California,6,Alameda,1,6001,2.0,0,2012,9999,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,58625.0,37.719167,-121.886944,58625.0,SRJBA,4.0,0.3,0.3,Batteries,0.81,0.0,0.0,0.0,POINT (-121.886944 37.719167),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3270,Monterey Regional Water Pollution Contro,58633_G_1,58633,G,1,,Solar PV,,WEC_CALN,California,6,Monterey,53,6053,1.0,0,2010,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58633.0,36.721111,-121.787778,,,,,,,,,0.0,0.0,POINT (-121.787778 36.721111),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3272,Sacramento Fairbain Water Treatment Plan,58636_G_1,58636,G,1,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,1.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58636.0,38.643611,-121.416389,,,,,,,,,0.0,0.0,POINT (-121.416389 38.643611),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3305,North Star Solar,58713_G_NSTR,58713,G,NSTR,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,60.0,0,2015,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58713.0,36.73,-120.41,,,,,,,,,0.0,0.0,POINT (-120.41 36.73),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3308,North Bay Solar 1,58748_G_NBWT,58748,G,NBWT,,Solar PV,,WEC_CALN,California,6,Solano,95,6095,1.0,0,2013,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58748.0,38.300556,-121.966389,,,,,,,,,0.0,0.0,POINT (-121.966389 38.300556),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3328,Shasta Solar Farm,58814_G_GENA,58814,G,GENA,,Solar PV,,WEC_CALN,California,6,Shasta,89,6089,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58814.0,41.031389,-121.4225,,,,,,,,,0.0,0.0,POINT (-121.4225 41.031389),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3329,Shasta Solar Farm,58814_G_GENB,58814,G,GENB,,Solar PV,,WEC_CALN,California,6,Shasta,89,6089,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58814.0,41.031389,-121.4225,,,,,,,,,0.0,0.0,POINT (-121.4225 41.031389),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3335,ASTI,58889_G_ASTI,58889,G,ASTI,,Solar PV,,WEC_CALN,California,6,Sonoma,97,6097,1.0,0,2009,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58889.0,38.761389,-122.975278,,,,,,,,,0.0,0.0,POINT (-122.975278 38.761389),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3336,Beringer,58890_G_BERI,58890,G,BERI,,Solar PV,,WEC_CALN,California,6,Sonoma,97,6097,1.1,0,2009,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58890.0,38.510833,-122.479722,,,,,,,,,0.0,0.0,POINT (-122.479722 38.510833),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3360,2081 Terzian Solar Project,58918_G_2081,58918,G,2081,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,1.2,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58918.0,36.67,-119.415833,,,,,,,,,0.0,0.0,POINT (-119.415833 36.67),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3361,2127 Harris Solar Project,58919_G_2127,58919,G,2127,,Solar PV,,WEC_CALN,California,6,Butte,7,6007,1.3,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58919.0,39.291667,-121.669722,,,,,,,,,0.0,0.0,POINT (-121.669722 39.291667),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3362,2097 Helton Solar Project,58920_G_2097,58920,G,2097,,Solar PV,,WEC_CALN,California,6,Merced,47,6047,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58920.0,37.352222,-120.506944,,,,,,,,,0.0,0.0,POINT (-120.506944 37.352222),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3363,Cloverdale Solar I,58949_G_TBD,58949,G,TBD,,Solar PV,,WEC_CALN,California,6,Sonoma,97,6097,1.5,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58949.0,38.773056,-123.017778,,,,,,,,,0.0,0.0,POINT (-123.017778 38.773056),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3364,Intel Folsom Phase 2,58954_G_PV,58954,G,PV,,Solar PV,,WEC_BANC,California,6,Sacramento,67,6067,1.0,0,2012,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58954.0,38.643611,-121.163889,,,,,,,,,0.0,0.0,POINT (-121.163889 38.643611),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3371,Henrietta Solar Project,58975_G_PV1,58975,G,PV1,,Solar PV,,WEC_CALN,California,6,Kings,31,6031,102.0,0,2016,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58975.0,36.218806,-119.805833,,,,,,,,,0.0,0.0,POINT (-119.805833 36.218806),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3372,Central Valley Ag Power,58978_G_CVAP,58978,G,CVAP,,Non-Fossil Waste,,WEC_CALN,California,6,Stanislaus,99,6099,1.5,19168,2014,9999,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,58978.0,37.719722,-120.898611,,,,,,,,,0.0,160.1,POINT (-120.898611 37.719722),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3374,"RE Adams East, LLC",58984_G_1,58984,G,1,,Solar PV,,WEC_CALN,California,6,Fresno,19,6019,19.0,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58984.0,36.6175,-120.290833,,,,,,,,,0.0,0.0,POINT (-120.290833 36.6175),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
3375,"RE Kansas Solar, LLC",58985_G_1,58985,G,1,,Solar PV,,WEC_CALN,California,6,Kings,31,6031,20.0,0,2014,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,58985.0,36.247778,-119.833889,,,,,,,,,0.0,0.0,POINT (-119.833889 36.247778),8,9,9,45.2932178082,19.6629761024,p9,rto4,CA
