,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
217,West Phoenix,117_G_C5-3,117,G,C5-3,,Combined Cycle,,WECC_AZ,Arizona,4,Maricopa,13,4013,150.0,8062,2003,9999,,,N,Natural Gas,,,,DLNB + NH3,SCR,2003.0,,,,,,,,0.01717,0.01717,0.01717,0.01717,,,,,,,,,,,,Natural Gas,117.0,33.4417,-112.1583,,,,,,,,,2.381000415400321,117.0,POINT (-112.1583 33.4417),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
218,West Phoenix,117_G_GT1,117,G,GT1,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,50.0,25000,1972,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.27549,0.27549,0.27549,0.27549,,,,,,,,,,,,Natural Gas,117.0,33.4417,-112.1583,,,,,,,,,2.381000415400321,117.0,POINT (-112.1583 33.4417),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
219,West Phoenix,117_G_GT2,117,G,GT2,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,50.0,25000,1973,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.27549,0.27549,0.27549,0.27549,,,,,,,,,,,,Natural Gas,117.0,33.4417,-112.1583,,,,,,,,,2.381000415400321,117.0,POINT (-112.1583 33.4417),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
220,Saguaro,118_G_GE1,118,G,GE1,8250.0,Combustion Turbine,,WECC_AZ,Arizona,4,Pinal,21,4021,76.0,15225,2002,9999,,,N,Natural Gas,,,,DLNB,,,,,,,,,0.8,0.04126,0.04126,0.04126,0.04126,,,,,,,,,,,,Natural Gas,118.0,32.5517,-111.3,,,,,,,,,2.381000415400321,117.0,POINT (-111.3 32.5517),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
221,Saguaro,118_G_GT1,118,G,GT1,,Combustion Turbine,,WECC_AZ,Arizona,4,Pinal,21,4021,50.0,15225,1972,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.32,0.32,0.32,0.32,,,,,,,,,,,,Natural Gas,118.0,32.5517,-111.3,,,,,,,,,2.381000415400321,117.0,POINT (-111.3 32.5517),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
222,Saguaro,118_G_GT2,118,G,GT2,,Combustion Turbine,,WECC_AZ,Arizona,4,Pinal,21,4021,50.0,15225,1973,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.32,0.32,0.32,0.32,,,,,,,,,,,,Natural Gas,118.0,32.5517,-111.3,,,,,,,,,2.381000415400321,117.0,POINT (-111.3 32.5517),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
223,Yucca,120_B_1,120,B,1,74.0,O/G Steam,,WECC_AZ,Arizona,4,Yuma,27,4027,75.0,11220,1978,9999,tangential,,N,"Natural Gas, Distillate Fuel Oil, Residual Fuel Oil",,,,,,,,,,,,,1.0,0.09978,0.09978,0.09978,0.09978,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
224,Yucca,120_G_GT1,120,G,GT1,,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,18.0,11543,1971,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,1.0,0.32,0.064,0.32,0.064,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
225,Yucca,120_G_GT2,120,G,GT2,,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,18.0,11543,1971,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,1.0,0.32,0.064,0.32,0.064,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
226,Yucca,120_G_GT21,120,G,GT21,,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,20.0,11543,1978,9999,,,N,Distillate Fuel Oil,,,,,SCR,,,,,,,,0.8,0.88,0.176,0.88,0.176,,,,,,,,,,,,Distillate Fuel Oil,120.0,32.7214,-114.7106,,,,,,,,,19.13758483593252,160.1,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
