,r,rr,cost($/mw-mile),GAMS Symbol
0,WA,OR,1166.507799,WAOR
1,WA,ID,1079.01971405,WAID
2,WA,MT,1079.01971405,WAMT
3,OR,CA,1837.2487,ORCA
4,OR,NV,1079.01971405,ORNV
5,OR,ID,1079.01971405,ORID
6,CA,NV,1749.76061505,CANV
7,CA,UT,1749.76061505,CAUT
8,CA,AZ,1749.76061505,CAAZ
9,NV,ID,991.5316291,NVID
10,NV,UT,991.5316291,NVUT
11,NV,AZ,991.5316291,NVAZ
12,ID,MT,991.5316291,IDMT
13,ID,WY,1011.3637350500001,IDWY
14,ID,UT,991.5316291,IDUT
15,MT,WY,1011.3637350500001,MTWY
16,WY,UT,1021.279788025,WYUT
17,WY,CO,1031.195841,WYCO
18,UT,AZ,991.5316291,UTAZ
19,UT,NM,991.5316291,UTNM
20,UT,CO,1031.195841,UTCO
21,AZ,NM,991.5316291,AZNM
22,NM,CO,1011.3637350500001,NMCO
23,OR,WA,1166.507799,ORWA
24,ID,WA,1079.01971405,IDWA
25,MT,WA,1079.01971405,MTWA
26,CA,OR,1837.2487,CAOR
27,NV,OR,1079.01971405,NVOR
28,ID,OR,1079.01971405,IDOR
29,NV,CA,1749.76061505,NVCA
30,UT,CA,1749.76061505,UTCA
31,AZ,CA,1749.76061505,AZCA
32,ID,NV,991.5316291,IDNV
33,UT,NV,991.5316291,UTNV
34,AZ,NV,991.5316291,AZNV
35,MT,ID,991.5316291,MTID
36,WY,ID,1011.3637350500001,WYID
37,UT,ID,991.5316291,UTID
38,WY,MT,1011.3637350500001,WYMT
39,UT,WY,1021.279788025,UTWY
40,CO,WY,1031.195841,COWY
41,AZ,UT,991.5316291,AZUT
42,NM,UT,991.5316291,NMUT
43,CO,UT,1031.195841,COUT
44,NM,AZ,991.5316291,NMAZ
45,CO,NM,1011.3637350500001,CONM
