block,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
0,175532.17018116667,193084.39431841148,16071.002805581036,148953.79256561326,228630.08232302783,2029.053302986856,980.2402825651556,305640.25346303376,11778.767346623565,1546115.311026978,14797.52747711385
1,193327.30818571913,466491.7442603349,25327.947578357303,295228.8890716988,327917.67863410315,7014.997061168913,1743.6806551609295,318026.952640023,20050.445490235794,2054459.7871569376,37028.46661756294
2,183021.30273595738,472158.5007151777,34968.598498143794,239844.54539955594,167786.16305737992,4712.80061171578,1422.672385077313,211806.41104605762,15154.813310871665,1642970.0212114418,34041.367819565436
6,130908.88559664944,437366.9818236991,16134.707377721848,138878.25922436654,165326.53290720508,1294.3387789730323,886.332859623772,334046.66537343926,12486.052868506484,1927257.178672872,8525.859272199994
peaknet4,83948.79465989693,309312.2350771939,13070.75309760252,100249.24633108868,50659.183739336186,1770.3325649467588,653.285813701285,91976.84773832189,6467.512695849225,708316.155761525,10834.186403648586
peaknetramp5,65345.30456164906,182295.10107264953,1143.5175392221927,42118.55052200364,91483.60205766161,808.6234746155543,486.2337929799163,98305.65801350711,4641.706202148436,548373.6938443829,2018.0433785323437
peaktotal3,86950.97096539896,315520.2060534221,14571.440949216387,105705.31108545055,89515.12103078711,2318.645501047879,672.0998151413163,89468.88543237551,6620.951685600538,700196.47633864,8996.681210320763
