block,AZ,CA,CO,ID,MT,NM,NV,OR,UT,WA,WY
0,175532.1701811712,193084.39431840624,16071.002805585505,148953.79256561326,228630.0823230268,2029.0533029869498,980.2402825650975,305640.25346303376,11778.767346623565,1546115.311026978,14797.527477114878
1,193327.30818571878,466491.7442603215,25327.9475783571,295228.8890716988,327917.678634102,7014.997061168759,1743.6806551609104,318026.952640023,20050.445490235794,2054459.7871569376,37028.466617563485
2,183021.30273595615,472158.5007151715,34968.59849814306,239844.54539955594,167786.16305738233,4712.80061171574,1422.672385077313,211806.41104605762,15154.813310871665,1642970.0212114418,34041.36781956485
6,130908.88559665784,437366.9818236986,16134.707377722527,138878.25922436654,165326.53290720598,1294.3387789730684,886.3328596237408,334046.66537343926,12486.052868506484,1927257.178672872,8525.85927220037
peaknet4,83948.79465989783,309312.2350771949,13070.75309760317,100249.24633108868,50659.18373933642,1770.33256494675,653.2858137012582,91976.84773832189,6467.512695849225,708316.155761525,10834.186403649453
peaknetramp5,65345.30456165096,182295.1010726514,1143.5175392221856,42118.55052200364,91483.60205766119,808.623474615545,486.233792979937,98305.65801350711,4641.706202148436,548373.6938443829,2018.0433785321852
peaktotal3,86950.97096539882,315520.20605342364,14571.440949216834,105705.31108545055,89515.12103078795,2318.6455010478767,672.0998151413138,89468.88543237551,6620.951685600538,700196.47633864,8996.681210321429
