,0
WAOR,5.540322262376754
WAID,1.268273729420347
WAMT,0.0
ORCA,0.0
ORNV,1.0276091194668406
ORID,0.36795144685325004
CANV,0.6730713662894878
CAUT,0.0
CAAZ,0.0
NVID,0.7072644441814746
NVUT,0.036488313691209584
NVAZ,0.15577204290050828
IDMT,0.11039604545088574
IDWY,1.0478535604642123
IDUT,1.8560515676610214
MTWY,0.9596455673240379
WYUT,1.1086783387894747
WYCO,2.203221932956283
UTAZ,0.0
UTNM,0.8694540148441666
UTCO,0.0
AZNM,6.78321378320507
NMCO,4.8295750719065635
ORWA,5.540322262376754
IDWA,1.268273729420347
MTWA,0.0
CAOR,0.0
NVOR,1.0276091194668406
IDOR,0.36795144685325004
NVCA,0.6730713662894878
UTCA,0.0
AZCA,0.0
IDNV,0.7072644441814746
UTNV,0.036488313691209584
AZNV,0.15577204290050828
MTID,0.11039604545088574
WYID,1.0478535604642123
UTID,1.8560515676610214
WYMT,0.9596455673240379
UTWY,1.1086783387894747
COWY,2.203221932956283
AZUT,0.0
NMUT,0.8694540148441666
COUT,0.0
NMAZ,6.78321378320507
CONM,4.8295750719065635
