,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2035-02-03 00:00:00,12777.8563245,6265.452354749999,26846.889223449998,4195.140957,3038.8546025,1975.76268979,2622.477774,3880.29118695,8903.14151275,2034.976841,7151.811831
2035-02-03 01:00:00,12566.1438615,6152.011199250001,25918.057910499996,4137.393054499999,2990.7257394999997,1955.8010426350002,2619.1375858,3761.5520298,8824.459690149999,1988.314619,7080.7080425
2035-02-03 02:00:00,12621.517363499997,6146.53019285,25381.50626145,4111.7709295,2984.637719,1949.0876515699997,2665.4656527999996,3734.02067395,8803.81838565,1969.16513,7106.9137035
2035-02-03 03:00:00,12853.0439225,6232.739331899999,25357.88837315,4135.0692315,3004.6064065,1961.048307025,2671.13297695,3725.5502195500003,8895.15472765,1969.663123,7156.8023885
2035-02-03 04:00:00,13594.749783000003,6560.51956985,26163.2719381,4228.143176,3088.583555,2007.941644505,2665.7022924000003,3766.0497954,9272.70163675,2019.528351,7267.733829000002
2035-02-03 05:00:00,15030.398662,7249.182222,28174.53666345,4446.73177,3318.93318,2105.880660435,2711.2460689,3948.4406013499997,10078.039701349999,2163.6035890000007,7561.43891
2035-02-03 06:00:00,16999.66138,8182.4102505,31458.3019545,4642.900875,3674.0748599999997,2289.8699998499997,2791.0502305,4295.123299,11234.00725,2418.85962,7924.506625
2035-02-03 07:00:00,17963.926875,8641.776009500001,33052.18922,4622.123785,3965.3040049999995,2511.40596575,2882.526522,4711.416228,11455.1929965,2506.539525,8005.009060000002
2035-02-03 08:00:00,17562.45496,8535.2907445,33456.1366955,4597.83218,3960.27746,2566.2350988,2935.476635,4846.953092500001,10930.131462000001,2483.26436,8260.00836
2035-02-03 09:00:00,16661.275504999998,8244.302188,33491.3027145,4554.120375,3869.7582400000006,2527.8288116500003,2946.5585330000004,4804.382656,10426.743394000001,2462.360675,8452.193009999999
2035-02-03 10:00:00,15858.68511,7939.7388685,33490.0414725,4476.15495,3741.83187,2439.8321272499998,2912.2254915000003,4728.198649000002,10035.652922000001,2418.920185,8511.139955
2035-02-03 11:00:00,15173.57529,7671.8832755,33164.222781000004,4448.6613,3604.61508,2346.76059005,2845.438403,4597.048839499999,9683.0417365,2376.77132,8520.71275
2035-02-03 12:00:00,14585.323155,7429.51715,32736.649877,4401.972659999999,3474.74244,2265.3757393,2809.4871814999997,4461.692446,9474.9802635,2322.047665,8561.830640000002
2035-02-03 13:00:00,14077.713745000001,7219.599658,32540.648954,4336.852385,3357.876195,2195.0812818,2724.9821175,4347.546226,9297.27108,2300.98564,8456.88044
