,WA,OR,CA,NV,ID,MT,WY,UT,AZ,NM,CO
2035-02-03 00:00:00,171.55765993487657,180.58701045776485,179.59329719973428,171.55765993487657,171.55765993487657,157.14741407035496,149.29004336683724,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 01:00:00,168.37474283692322,177.2365714072876,150.8324805717569,168.37474283692322,168.37474283692325,157.14741407035498,149.29004336683724,159.95600569507707,156.53023870457756,148.7037267693487,156.53023870457756
2035-02-03 02:00:00,170.28787365387356,179.2503933198669,179.2503933198669,170.28787365387356,162.02446725601774,157.14741407035496,146.227081698556,153.92324389321686,153.92324389321686,146.22708169855602,153.92324389321686
2035-02-03 03:00:00,166.49292806992008,175.2557137578106,158.16828166642406,166.49292806992008,165.41833060037365,157.14741407035496,149.29004336683724,157.14741407035498,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 04:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.1853464458503,165.41833060037362,157.14741407035493,149.29004336683724,157.14741407035493,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 05:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,154.5421058565779,162.97977693813274,157.14741407035498,154.8307880912261,162.67590090166095
2035-02-03 06:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.58701045776482,171.5576599348766,157.14741407035496,154.8307880912261,162.97977693813277,180.58701045776485,171.55765993487663,162.9797769381328
2035-02-03 07:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,151.14886535807463,162.97977693813274,159.10406879797333,151.14886535807466,159.10406879797333
2035-02-03 08:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 09:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 10:00:00,172.1853464458503,181.2477331008951,179.59329719973428,172.18534644585034,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 11:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 12:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,156.53023870457753,148.70372676934863,156.5302387045775
2035-02-03 13:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,156.46858726266487,148.64515789953163,156.46858726266487
2035-02-03 14:00:00,172.1853464458503,181.2477331008951,179.59329719973428,172.18534644585034,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,156.11545974366453,148.30968675648128,156.1154597436645
2035-02-03 15:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,153.92324389321686,146.22708169855602,153.92324389321686
2035-02-03 16:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,171.55765993487657,157.14741407035496,151.14886535807466,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 17:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,150.2101919449965,162.97977693813274,153.34311313133836,145.67595747477145,153.34311313133836
2035-02-03 18:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,154.8307880912261,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 19:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,152.5204900181113,162.97977693813274,156.11545974366453,148.3096867564813,156.11545974366453
2035-02-03 20:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,151.98824517036962,162.97977693813274,152.73555413914914,145.0987764321917,152.73555413914914
2035-02-03 21:00:00,172.1853464458503,181.24773310089506,179.59329719973428,180.5870104577648,171.55765993487657,157.14741407035496,153.05273486585298,162.97977693813274,155.78976045497478,148.00027243222604,155.78976045497478
2035-02-03 22:00:00,172.1853464458503,181.24773310089506,179.59329719973428,177.89239249816163,168.99777287325355,157.14741407042936,152.52049001811133,160.54788422959086,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-03 23:00:00,172.1853464458503,181.24773310089506,179.59329719973428,172.18534644585029,165.41833060037362,157.14741407035493,151.98824517399817,157.14741407035493,156.46858726266487,148.64515789953163,156.46858726266487
2035-02-04 00:00:00,170.2878736539077,179.25039331990286,179.59329719973428,170.61363233974757,163.72139892819575,157.14741407035496,151.98824517036962,155.53532898178594,155.53532898178594,147.75856253269666,155.53532898178597
2035-02-04 01:00:00,168.37474283692325,177.23657140728764,179.59329719973428,170.61363233974757,162.73902179042844,157.14741407035496,151.14886535807466,154.60207070090703,154.60207070090703,146.8719671658617,154.60207070090703
2035-02-04 02:00:00,168.37474283692325,177.23657140728764,179.59329719973428,170.61363233974757,167.13248417330985,157.14741407035496,150.83706696641212,158.77585996464435,156.46858726266487,148.64515789953163,156.46858726266487
2035-02-04 03:00:00,170.61363233974754,179.59329719973425,179.59329719973428,170.61363233974757,170.61363233974754,157.14741407035496,153.97880318662214,162.08295072276016,155.53532898178594,147.75856253269666,155.53532898178594
2035-02-04 04:00:00,168.3904008618968,177.25305353883874,150.8324805717569,168.3904008618968,168.40802788960622,157.14741407035496,151.9882451703696,159.9876264951259,155.07351926578977,147.3198433025003,155.07351926578977
2035-02-04 05:00:00,172.1853464458503,181.24773310089506,57.17276943187604,172.18534644585029,171.55765993487657,157.14741407035496,154.8307880912261,162.97977693813274,154.06153724146782,146.35846037939442,154.0615372414678
2035-02-04 06:00:00,172.1853464458503,181.24773310089506,145.47057073178476,172.18534644585029,171.55765993487657,157.14741407035496,152.5204900181113,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-04 07:00:00,172.1853464458503,181.24773310089506,145.47057073178476,172.18534644585029,171.55765993487657,157.14741407035496,152.5204900181113,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-04 08:00:00,172.1853464458503,181.2477331008951,145.47057073178476,172.18534644585034,171.55765993487657,157.14741407035496,152.5204900181113,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-04 09:00:00,172.1853464458503,181.2477331008951,145.47057073178476,172.18534644585034,171.55765993487657,157.14741407035496,154.8307880912261,162.97977693813274,157.14741407035498,149.29004336683724,157.14741407035498
2035-02-04 10:00:00,172.1853464458503,181.2477331008951,145.47057073178476,172.18534644585034,171.55765993487657,157.14741407035496,154.8307880912261,162.97977693813274,152.03650727103982,144.43468190748783,152.03650727103982
2035-02-04 11:00:00,172.1853464458503,181.2477331008951,145.47057073178476,172.18534644585034,171.55765993487657,157.14741407035496,154.8307880912261,162.97977693813274,150.1359652630718,142.62916699991823,151.83226781428004
